Date,portfolio,equal_weight,benchmark
2015-07-07,0.0027887099014751175,0.002788709901475117,0.00628864393509776
2015-07-08,-0.01633230034311086,-0.01633230034311086,-0.01677733085421218
2015-07-09,0.004493719914631544,0.004493719914631544,0.0018091347650102119
2015-07-10,0.015353983791688664,0.015353983791688664,0.012591539540974583
2015-07-13,0.008769414874697047,0.008769414874697045,0.011037181100761906
2015-07-14,0.00467282258333257,0.00467282258333257,0.004337802626717124
2015-07-15,-0.0016180186059144065,-0.0016180186059144065,-0.0003318560396369241
2015-07-16,0.007296300432888437,0.007296300432888436,0.008024047874553908
2015-07-17,0.0007511621455634778,0.0007511621455634776,0.0008479870196591577
2015-07-20,-0.0015300606941513362,-0.0015300606941513362,0.0005178802272247651
2015-07-21,-0.003435713723801215,-0.0034357137238012147,-0.003951472571406711
2015-07-22,-0.00439164812234889,-0.00439164812234889,-0.001794432595068507
2015-07-23,-0.004809959279367016,-0.004809959279367016,-0.00563012956612996
2015-07-24,-0.008274182450945577,-0.008274182450945577,-0.010371849823875956
2015-07-27,-0.00627378372393258,-0.00627378372393258,-0.00581727316943792
2015-07-28,0.010852513176464941,0.01085251317646494,0.012282687818159221
2015-07-29,0.005300727138767037,0.005300727138767036,0.006879187651524621
2015-07-30,-0.00025642043629727765,-0.00025642043629727775,0.00023722332822506687
2015-07-31,0.000574813988854639,0.0005748139888546389,-0.0015179038622210594
2015-08-03,-0.003463488665448544,-0.003463488665448544,-0.003373082857765053
2015-08-04,-0.0011564440108321695,-0.0011564440108321693,-0.0019541618609524303
2015-08-05,0.0036560468379838286,0.0036560468379838286,0.0032956589037933526
2015-08-06,-0.006870710629424348,-0.006870710629424348,-0.008187795029744316
2015-08-07,-0.0016607124403617002,-0.0016607124403617002,-0.0019200044859098986
2015-08-10,0.012167222769359443,0.012167222769359443,0.012599458144645359
2015-08-11,-0.00921798202911085,-0.009217982029110849,-0.009023219419566075
2015-08-12,0.001029319732416534,0.0010293197324165338,0.001198140677427073
2015-08-13,-0.0016680812853787086,-0.0016680812853787086,-0.0012445891086569905
2015-08-14,0.002756106372335621,0.0027561063723356206,0.0036420113666097986
2015-08-17,0.004244603566902883,0.004244603566902883,0.005587281242615205
2015-08-18,-0.003699971274345171,-0.0036999712743451705,-0.002896701477303032
2015-08-19,-0.005813045809977369,-0.005813045809977368,-0.007905547932296142
2015-08-20,-0.018707558105168588,-0.018707558105168588,-0.02088167480322245
2015-08-21,-0.02688255833345201,-0.02688255833345201,-0.030102277937415378
2015-08-24,-0.035715258390417906,-0.035715258390417906,-0.04210663562058292
2015-08-25,-0.00680923489484121,-0.00680923489484121,-0.01176824291988443
