Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_training_reward,train_demo_excess_return,train_policy_excess_return,train_policy_training_reward,validation_demo_training_reward,validation_demo_excess_return,validation_policy_excess_return,validation_policy_training_reward,validation_policy_excess_vs_markowitz,validation_t_statistic,validation_p_value,selected_checkpoint
1,1.1156944513320923,-0.3446781492233276,1.4603725910186767,0.052731300294399264,-13.456601676940918,0.02493261732161045,0.02610228955745697,0.0038997798692435026,0.002730106469243765,0.011897670105099678,0.010655492544174194,-0.0016217643860727549,-0.000379586243070662,0.009008031338453293,-0.9640823117683378,0.8278808535581981,False
2,0.8186662769317627,-0.2959949517250061,1.114661259651184,0.0523076793551445,-13.467616653442382,0.02493261732161045,0.02610228955745697,0.004027890507131815,0.0028582171071320772,0.011897670105099678,0.010655492544174194,-0.0016618325607851148,-0.0004196543013677001,0.008967963978648186,-0.9912144138214457,0.834460849078974,False
3,0.5779172897338867,-0.3553249168395996,0.9332422065734863,0.052069497257471085,-13.48880298614502,0.02493261732161045,0.02610228955745697,0.004128625616431236,0.002958951983600855,0.011897670105099678,0.010655492544174194,-0.001683152629993856,-0.0004409744287841022,0.008946643210947514,-1.0085682874128097,0.8385778304045017,False
4,0.5306902432441711,-0.28476013243198395,0.8154503512382507,0.05188412368297577,-13.508384971618652,0.02493261732161045,0.02610228955745697,0.004177604801952839,0.003007931401953101,0.011897670105099678,0.010655492544174194,-0.0017007749993354082,-0.000458596769021824,0.00892902072519064,-1.0235754871906668,0.8420805335935995,False
5,0.5205843448638916,-0.4513855504989624,0.9719698762893677,0.05179497927427292,-13.555045051574707,0.02493261732161045,0.02610228955745697,0.004225624725222588,0.00305595132522285,0.011897670105099678,0.010655492544174194,-0.001730850082822144,-0.0004886718816123903,0.008898945525288582,-1.0438384667594356,0.8467254017118344,False
6,0.5068422603607178,-0.3697220194339752,0.8765642690658569,0.05168890491127968,-13.640446891784668,0.02493261732161045,0.02610228955745697,0.004318566527217627,0.003148892894387245,0.011897670105099678,0.010655492544174194,-0.0017858720384538174,-0.0005436938954517245,0.008843923918902874,-1.0765081487475932,0.8540103838333644,False
7,0.502485818862915,-0.3633069849014282,0.8657928037643433,0.051450468599796295,-13.738311500549317,0.02493261732161045,0.02610228955745697,0.004395304713398218,0.0032256313133984804,0.011897670105099678,0.010655492544174194,-0.001792311668395996,-0.0005501334671862423,0.008837484754621983,-1.078678561966944,0.8544854779344685,False
8,0.4774715328216553,-0.3890184032917023,0.8664899253845215,0.051393717527389526,-13.850790634155274,0.02493261732161045,0.02610228955745697,0.004533107858151197,0.0033634344581514597,0.011897670105099678,0.010655492544174194,-0.0018021074356511235,-0.0005599292344413698,0.008827688172459602,-1.0799760719424556,0.854768969950377,False
9,0.5040658235549926,-0.3203585827350616,0.8244244170188904,0.05113718345761299,-13.954150314331054,0.02493261732161045,0.02610228955745697,0.004772240296006203,0.0036025671288371086,0.011897670105099678,0.010655492544174194,-0.0018793826457113028,-0.0006372043862938881,0.008750413544476032,-1.1180750768989436,0.8629178872157603,False
10,0.4816458702087402,-0.3335301172733307,0.815175998210907,0.05065383851528168,-13.953811378479005,0.02493261732161045,0.02610228955745697,0.005090385675430298,0.0039207120425999165,0.011897670105099678,0.010655492544174194,-0.0019286687020212412,-0.0006864905590191483,0.008701127022504807,-1.135827663170768,0.8665997441067077,False
