Split,benchmark_component,equal_weight_component,restricted_random_component,markowitz_component,raw_return_component,significance_component,significance_bonus,weight_error_penalty,composite_score
train,29.839783705935076,19.778465762659096,14.851058285886813,24.260450334584366,9.982240894057849,14.94646806423551,10.0,6.448531150817871,117.20993589654083
validation,22.532240624470923,16.300403997506947,11.91101101614779,24.16605499650008,9.059715371810807,13.839040971323875,10.0,8.213711678981781,99.59475529877864
all,29.63759078002876,19.598233064514233,14.716814280250446,24.24187521658812,9.959367603065449,14.966737583161155,10.0,6.812774688005447,116.30784383960273
