Split,benchmark_component,equal_weight_component,restricted_random_component,raw_return_component,significance_component,significance_bonus,weight_error_penalty,composite_score
train,26.232931032367407,17.56004894739443,13.233931174147441,9.064798782036057,14.999999418552331,10.0,0.0,91.09170935449768
validation,27.949440026011178,18.49833037336633,13.876773686684686,9.511467639596493,14.997601551379013,10.0,0.0,94.8336132770377
all,26.660995087080085,17.784505166742107,13.386023854722323,9.178117227153889,14.999999940497853,10.0,0.0,92.00964127619626
