Split,benchmark_component,equal_weight_component,restricted_random_component,raw_return_component,significance_component,significance_bonus,weight_error_penalty,composite_score
train,29.99999833815922,19.999999130350567,14.999999418793623,9.999999697760733,14.97882587528386,10.0,0.0,99.978822460348
validation,29.999999991596777,19.99999999388988,14.999999995707075,9.99999999470277,14.551685090329345,10.0,0.0,99.55168506622584
all,29.999999422754314,19.99999967738443,14.999999782221508,9.999999865386087,14.992775945710568,10.0,0.0,99.9927746934569
