Split,benchmark_component,equal_weight_component,restricted_random_component,raw_return_component,significance_component,significance_bonus,weight_error_penalty,composite_score
train,-12.358270333985484,0.0,0.0,-1.1797403425264241,-2.657899157364076,0.0,10.726674199104306,-26.92258403298029
validation,-9.603148596864518,0.0,0.0,-0.3494950086767703,-0.8749726253764091,0.0,10.542123019695282,-21.36973925061298
all,4.328675047043108,0.0,0.0,4.3019051920993245,4.1409119743197875,3.333333333333333,3.191190809011458,12.913634737784095
