Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_excess_return,train_policy_excess_return,validation_demo_excess_return,validation_policy_excess_return,validation_t_statistic,validation_p_value,selected_checkpoint
1,1.2348980179020004,-0.43391655706891824,1.668814549259111,0.00469743474112714,-13.52212464575674,0.007149352692067623,4.4683029045700096e-06,0.008878790773451328,2.284118818351999e-05,0.6952920395999252,0.24501417456039595,False
2,0.7518476691900515,-0.4689575819408192,1.2208052546370263,0.004623138199688173,-13.1878584132475,0.007149352692067623,4.787071247847052e-06,0.008878790773451328,1.1551838724699337e-05,0.22085688068622833,0.4130428493425803,False
3,0.6153364836000929,-0.418912820371927,1.034249302218942,0.0045641372071615624,-12.980743090311686,0.007149352692067623,1.7754002328729257e-05,0.008878790773451328,1.3296420547703747e-05,0.09932006320135082,0.4606367625267344,False
4,0.430703531293308,-0.4787822879996954,0.9094858192930034,0.0044074312728994034,-13.178534058963551,0.007149352692067623,5.5588927352800965e-05,0.008878790773451328,6.455183029174805e-05,0.35162846666289116,0.36328279904447813,False
5,0.33286559348012884,-0.3846514575621661,0.717517051042295,0.004306212195432654,-13.190942184597839,0.007149352692067623,0.00015627520042471588,0.008878790773451328,0.00018696486949920654,1.0215967851245182,0.15589673836420695,False
6,0.25880153389538035,-0.6396474885005577,0.898449022395938,0.004314647421386896,-13.083499758851294,0.007149352692067623,0.0002648459339980036,0.008878790773451328,0.00031962760840542614,1.6777334374180033,0.04975905232110312,False
7,0.0983679727012036,-0.5540764498360017,0.6524444216606664,0.004292360840219201,-13.085055874843224,0.007149352692067623,0.00041157883242703974,0.008878790773451328,0.0003389899502508342,1.401381263503761,0.0835782155953919,False
8,0.0956185214659747,-0.26020698220122096,0.3558255036671956,0.004183367821479253,-13.26764471390668,0.007149352692067623,0.0002061692503048107,0.008878790773451328,0.0005297053139656782,1.7037320577918134,0.04725898654352925,False
9,0.1415911679174386,-0.8000639571863062,0.9416551251037448,0.004182324352144611,-13.480536722669415,0.007149352692067623,0.0004547448770608753,0.008878790773451328,0.00035748345544561744,1.8747772445615185,0.03327771822861466,False
10,0.12322617687431037,-0.32265004939308356,0.44587622670566335,0.00407678957152016,-13.383944642310048,0.007149352692067623,0.00024338826187886298,0.008878790773451328,0.00029212236404418945,0.9719820780582809,0.16782351215453298,False
11,0.05995747972937191,-0.5502346520330391,0.610192131762411,0.004117073116860553,-13.681461839114919,0.007149352692067623,0.0004213557404000312,0.008878790773451328,0.00037072942359372973,1.4826579843604422,0.07215937243463609,False
