Split,benchmark_component,equal_weight_component,restricted_random_component,raw_return_component,significance_component,significance_bonus,weight_error_penalty,composite_score
train,-7.000155772838891,0.0,0.0,3.8159304477780234,-2.1210600368469446,0.0,9.755888879299164,-15.061174241206976
validation,12.030078577432064,0.0,0.0,-3.819948457966062,2.0102915030299364,0.0,9.605870246887205,0.614551375608734
all,5.599306943544297,0.0,0.0,4.857924183243582,5.62640941527428,3.333333333333333,2.8792840987443897,16.5376897766511
