Index,split,beats_all_tickers,significant_vs_all_tickers,min_mean_excess_return,mean_mean_excess_return
0,train,False,False,-0.0017780375345952094,0.0003491032005703382
1,validation,False,False,-0.0006264592968137924,0.0007773765062881728
2,all,False,False,-0.0007296908373213084,0.0004347578617139051
