Date,portfolio,equal_weight,benchmark
2015-08-03,-0.005082667681443517,-0.004802985336517092,-0.0033725628268823638
2015-08-04,-0.0003752147492128152,-0.0006062768038989456,-0.001954248024781613
2015-08-05,0.0018369291171580066,0.0024577799463388153,0.0032953090168468258
2015-08-06,-0.00547988676442272,-0.006599148185324588,-0.008187881927795071
2015-08-07,-2.758292084435905e-06,-0.00023206667881862467,-0.0019193913460832102
2015-08-10,0.01133111633935754,0.01141518182565878,0.012598661453120608
2015-08-11,-0.004562116724245523,-0.005577561849915129,-0.009023221766281564
2015-08-12,0.0068733172512317675,0.006223512191523284,0.0011982284729599169
2015-08-13,-0.004106887295173769,-0.0037109656518686065,-0.0012443271969767578
2015-08-14,0.0015762059272717956,0.0016965486854542873,0.003642360988996174
2015-08-17,0.005204815042609941,0.005510606662177657,0.005586407129904103
2015-08-18,-0.002466867993723288,-0.0027327353282406985,-0.002896355998758704
2015-08-19,0.0008488164961322018,-0.0003488633494658222,-0.007905722490171296
2015-08-20,-0.007801906810460494,-0.010388110901121092,-0.020881242152359092
2015-08-21,-0.019724630343472292,-0.02252008793593574,-0.03010236204616701
2015-08-24,-0.026666506173847034,-0.0286608784601875,-0.042106724009764895
2015-08-25,-0.009725907608412115,-0.009306709037214237,-0.01176785759698773
2015-08-26,0.02139117123266905,0.025035292350316467,0.03839398257661775
2015-08-27,0.015418649780198057,0.01687481733578215,0.02473486092666244
2015-08-28,0.0034952636583170937,0.0029551494104110474,5.038425783254752e-05
2015-08-31,-0.005710945975660494,-0.006459506589037156,-0.008079304124027686
2015-09-01,-0.015447058924725827,-0.019202963184494364,-0.02984801438505702
2015-09-02,0.010641180290679612,0.01395802023702771,0.01898155503376353
2015-09-03,-0.00425914186557395,-0.003791012811789581,0.0007163237458238658
2015-09-04,-0.009018227192427859,-0.010093127041001551,-0.015136956729748241
2015-09-08,0.014924973608204726,0.01786709334269121,0.02513115187779391
2015-09-09,-0.012613875085415043,-0.012511309485447727,-0.013372061145537129
2015-09-10,0.005502496022804843,0.006225773842372255,0.00544172971789636
2015-09-11,0.0018724815062104556,0.002667044984596615,0.004544609323262616
2015-09-14,-0.0016380620002016324,-0.0020589387323343886,-0.003710503527112441
2015-09-15,0.005439124376134795,0.007089608445733586,0.01249953085083022
2015-09-16,0.009929340523828531,0.009205020061922031,0.008666508396956152
2015-09-17,0.003977357572803552,0.0027920815980471505,-0.002247957018251978
2015-09-18,-0.0052766519027563265,-0.007728261215278402,-0.01634137643166178
2015-09-21,-0.00041457562754891814,0.0006910250596624904,0.005167289043169321
2015-09-22,-0.010767732491064056,-0.011582934683531998,-0.012979700822406959
2015-09-23,0.0014984528335924713,0.0010531232717561438,-0.0015983768799799902
2015-09-24,0.007270099572435898,0.004570821559589766,-0.0036156365846703453
2015-09-25,-0.005028778102962149,-0.004963779681756764,-0.0002591767443239634
2015-09-28,-0.020472061335844813,-0.02207487180311844,-0.02509760020912788
2015-09-29,-0.002990961414150905,-0.00289107858199833,0.00058525105521956
2015-09-30,0.006943334339383165,0.010435984003232016,0.01865828944265302
2015-10-01,0.0013401187603260274,0.001971042906512103,0.002609228821397691
2015-10-02,0.018456291069626957,0.01787452995130005,0.014937768042985855
2015-10-05,0.007816429716390903,0.010034074774202114,0.017794915685158674
2015-10-06,0.002411748506444536,0.000618574621915946,-0.0034261745129180454
2015-10-07,0.0032042032578092367,0.004244521014824532,0.00819052675041676
2015-10-08,0.0012533823693144626,0.002632738356243928,0.00902639926947324
