Date,stressed_return,stressed_volatility,largest_loss_contributor,largest_loss_contribution,notes
equity_market_shock,-0.13275098053946355,,SPY,-0.07073646414159869,Custom return shock applied asset by asset.
interest_rate_shock_proxy,0.0,,SPY,0.0,Custom return shock applied asset by asset.
correlation_spike,,0.2649106900572082,GLD,0.10445589481046978,Returns are unchanged in this scenario; only portfolio volatility is stressed.
single_asset_crash,-0.10610469621239803,,SPY,-0.10610469621239803,Custom return shock applied asset by asset.
