RebalanceDate,SPY,QQQ,GLD
2015-07-31,0.3219947509236104,0.28562276194264696,0.3923824871337426
2015-08-31,0.294420620191465,0.2625730426222345,0.4430063371863005
2015-09-30,0.28619875886511953,0.25478984954361333,0.45901139159126714
2015-10-30,0.28883954801053247,0.25442286568573946,0.4567375863037281
2015-11-30,0.28969629092476223,0.2555394006413894,0.45476430843384835
2015-12-31,0.2910974631140013,0.25784719605891526,0.45105534082708343
2016-01-29,0.2812808248212785,0.2461257721118601,0.4725934030668615
2016-02-29,0.28375635976749075,0.2471623121069831,0.4690813281255261
2016-03-31,0.28908477669437715,0.24825546670632415,0.46265975659929875
2016-04-29,0.2872797504064511,0.2464970756542804,0.46622317393926854
2016-05-31,0.28703044859527344,0.2468603203950216,0.46610923100970497
2016-06-30,0.2889243810262504,0.24991283489448876,0.46116278407926087
2016-07-29,0.2922114340679911,0.25136501438096326,0.45642355155104575
2016-08-31,0.309227946323263,0.26248896871802496,0.428283084958712
2016-09-30,0.3112349808043836,0.2660786764294051,0.4226863427662113
2016-10-31,0.3136541751437864,0.27104631835711923,0.4152995064990943
2016-11-30,0.3216407157166319,0.2680610528225474,0.41029823146082073
2016-12-30,0.32674547541820403,0.2654617823038086,0.40779274227798745
2017-01-31,0.3438001510671596,0.28059939223375807,0.3756004566990823
2017-02-28,0.34622098445091876,0.28879688572045603,0.3649821298286252
2017-03-31,0.3418602780577257,0.29002307405332,0.36811664788895426
2017-04-28,0.3385159148263788,0.29336573749135403,0.3681183476822672
2017-05-31,0.33896296749567867,0.29369744315990226,0.3673395893444191
2017-06-30,0.36810004648678596,0.2784036035544364,0.35349634995877766
2017-07-31,0.37012845338015854,0.27148141652550084,0.3583901300943406
2017-08-31,0.36635621151987563,0.2641703336712674,0.36947345480885696
2017-09-29,0.38656265499743575,0.25889527752548697,0.35454206747707734
2017-10-31,0.3920296610144446,0.2447995546569385,0.36317078432861705
2017-11-30,0.3879740719250926,0.24416308624483862,0.3678628418300688
2017-12-29,0.3901379136793544,0.24175452504699912,0.3681075612736464
2018-01-31,0.380949310300097,0.2414397230302129,0.37761096666969024
2018-02-28,0.32007482731901604,0.24206633569895453,0.4378588369820295
2018-03-29,0.30705946852118665,0.22552682918986258,0.46741370228895074
2018-04-30,0.29738748046410646,0.215047290807287,0.4875652287286065
2018-05-31,0.2930175303634853,0.21402809455889138,0.49295437507762324
2018-06-29,0.28839368238679675,0.2171325385905603,0.494473779022643
2018-07-31,0.28481033557620733,0.2155200037240524,0.4996696606997402
2018-08-31,0.2899973739484235,0.2221900083775997,0.48781261767397677
2018-09-28,0.2858821927662094,0.21845690064089943,0.4956609065928912
2018-10-31,0.2708005482222499,0.2006992059796418,0.5285002457981083
2018-11-30,0.26223875185730294,0.19276419738587533,0.5449970507568218
