Portfolio,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
portfolio,0.1397675058677843,0.16038607082504325,0.871444166870634,1.0747435224233544,-0.25753253475148796,0.5427178589402548
equal_weight,0.1299630875179949,0.16154544178595243,0.804498635685406,0.9830684246504926,-0.30605584752062953,0.42463847226194495
benchmark,0.13290430077136595,0.17934773742588223,0.7410425282130496,0.8998663111827065,-0.3371725334437188,0.3941729755207077
