RebalanceDate,turnover
2015-07-10,0.0
2015-07-17,3.4694469519536157e-16
2015-07-24,6.938893903907233e-17
2015-07-31,0.0
2015-08-07,0.0
2015-08-14,0.0
2015-08-21,0.2000000000000004
2015-08-28,0.20000000000000032
2015-09-04,0.08952518270584596
2015-09-11,0.0895251827058458
2015-09-18,1.3877787807814462e-16
2015-09-25,0.20000000000000023
2015-10-02,0.05389242318554348
2015-10-09,0.14610757681445669
2015-10-16,5.551115123125783e-17
2015-10-23,5.551115123125783e-17
2015-10-30,0.0
2015-11-06,0.4
2015-11-13,0.3999999999999999
2015-11-20,0.20000000000000004
2015-11-27,0.20000000000000007
2015-12-04,0.10795996003586993
2015-12-11,0.10795996003586977
2015-12-18,0.2
2015-12-24,0.08710559660668071
2015-12-31,0.08704734736411956
2016-01-08,0.1741529439708
2016-01-15,0.20000000000000004
2016-01-22,0.0
2016-01-29,0.0
2016-02-05,0.19999999999999998
2016-02-12,0.0
2016-02-19,0.0
2016-02-26,0.0
2016-03-04,0.20000000000000018
2016-03-11,0.06478489611672415
2016-03-18,0.0
2016-03-24,0.2
2016-04-01,0.0
2016-04-08,0.09710879698121883
2016-04-15,0.07522809243613468
2016-04-22,0.02188070454508427
2016-04-29,0.20000000000000007
2016-05-06,0.0
2016-05-13,0.0
2016-05-20,0.0
2016-05-27,0.2
2016-06-03,0.0
2016-06-10,0.11976486867275489
2016-06-17,0.08023513132724545
2016-06-24,1.249000902703301e-16
2016-07-01,8.326672684688674e-17
2016-07-08,0.150996140508881
2016-07-15,0.1509961405088805
2016-07-22,8.326672684688681e-17
2016-07-29,4.1633363423443426e-17
2016-08-05,0.1999999999999997
2016-08-12,0.0
2016-08-19,0.0
2016-08-26,0.0
2016-09-02,0.0
2016-09-09,0.2
2016-09-16,0.20000000000000046
2016-09-23,1.3877787807814457e-16
2016-09-30,8.326672684688674e-17
2016-10-07,5.551115123125783e-17
2016-10-14,0.052070840998295
2016-10-21,0.05207084099829497
2016-10-28,0.0
2016-11-04,0.20000000000000015
2016-11-11,0.0
2016-11-18,0.0
2016-11-25,0.0
2016-12-02,0.0
2016-12-09,0.1999999999999999
2016-12-16,0.0
2016-12-23,0.0
2016-12-30,0.0
2017-01-06,0.0
2017-01-13,0.0
2017-01-20,0.19999999999999996
2017-01-27,0.0
2017-02-03,0.0
2017-02-10,0.0
2017-02-17,0.0
2017-02-24,0.0
2017-03-03,0.0
2017-03-10,0.0
2017-03-17,0.0
2017-03-24,0.12228244776122565
2017-03-31,0.07771755223877443
2017-04-07,0.0
2017-04-13,0.0
2017-04-21,0.15743272090105445
2017-04-28,0.19999999999999993
2017-05-05,0.04906348994065527
2017-05-12,0.0
2017-05-19,0.3999999999999999
2017-05-26,0.3999999999999999
2017-06-02,0.39999999999999997
2017-06-09,0.39999999999999997
2017-06-16,0.4
2017-06-23,0.40000000000000013
2017-06-30,0.40000000000000013
2017-07-07,3.469446951953618e-16
2017-07-14,0.0
2017-07-21,0.0
2017-07-28,0.0
2017-08-04,0.04597101941876779
2017-08-11,0.1540289805812328
2017-08-18,0.06093908522376935
2017-08-25,1.387778780781446e-16
2017-09-01,6.938893903907231e-17
2017-09-08,0.0
2017-09-15,0.0
2017-09-22,0.0
2017-09-29,0.13731737979146486
2017-10-06,0.4000000000000002
2017-10-13,0.39999999999999963
2017-10-20,0.22154138987478547
2017-10-27,0.1240883100884004
2017-11-03,0.20000000000000034
2017-11-10,0.2930908400911907
2017-11-17,0.05618524066721098
2017-11-24,0.0
2017-12-01,0.07618523786272487
2017-12-08,0.0
2017-12-15,0.0
2017-12-22,0.010587009390340912
2017-12-29,0.013051333885714514
2018-01-05,0.05254689458666943
2018-01-12,1.3877787807814457e-16
2018-01-19,0.008165115129685853
2018-01-26,0.008165115129685757
2018-02-02,0.0
2018-02-09,0.07480387817066704
2018-02-16,0.025657658477095915
2018-02-23,0.04212521818397235
2018-03-02,0.0391035706058646
2018-03-09,0.04612457211546341
2018-03-16,0.0
2018-03-23,0.20000000000000004
2018-03-29,1.3877787807814457e-16
2018-04-06,1.3877787807814457e-16
2018-04-13,0.046154811180821556
2018-04-20,0.15384518881917836
2018-04-27,0.042669475883623596
2018-05-04,0.2000000000000003
2018-05-11,0.25530075310866296
2018-05-18,0.13925581893109645
2018-05-25,0.051802267939629894
2018-06-01,0.0
2018-06-08,0.0
2018-06-15,0.0
2018-06-22,0.0
2018-06-29,0.006984891448107271
2018-07-06,0.0069848914481074505
2018-07-13,0.0
2018-07-20,0.0
2018-07-27,0.0
2018-08-03,0.0
2018-08-10,0.0
2018-08-17,0.0
2018-08-24,0.0
2018-08-31,0.0
2018-09-07,0.0
2018-09-14,0.0
2018-09-21,0.0
2018-09-28,0.20000000000000015
2018-10-05,0.0
2018-10-12,0.0
2018-10-19,0.0
2018-10-26,0.0
2018-11-02,0.0
2018-11-09,0.0
2018-11-16,0.20000000000000023
2018-11-23,0.0
2018-11-30,0.20000000000000012
2018-12-07,0.0
2018-12-14,0.0
2018-12-21,0.26109643606933036
2018-12-28,0.12551056108771533
2019-01-04,0.0526705826987146
2019-01-11,0.07739696004132701
2019-01-18,0.09158015409758324
2019-01-25,0.13168811589175322
2019-02-01,0.17519157234931623
2019-02-08,0.19999999999999996
2019-02-15,0.026365331980103976
2019-02-22,0.0
2019-03-01,0.0
2019-03-08,0.19999999999999998
2019-03-15,2.7755575615628914e-17
2019-03-22,0.0
2019-03-29,0.0
2019-04-05,0.0
2019-04-12,0.0
2019-04-18,0.0
2019-04-26,0.0
2019-05-03,0.0
2019-05-10,0.0
2019-05-17,0.0
2019-05-24,0.0
2019-05-31,0.0
2019-06-07,0.2
2019-06-14,0.0
2019-06-21,0.20000000000000018
2019-06-28,0.20000000000000034
2019-07-05,0.016991416211028114
2019-07-12,0.016991416211028006
2019-07-19,0.15297449843844957
2019-07-26,0.039400085216653453
2019-08-02,0.18149677905915446
2019-08-09,0.2000000000000003
2019-08-16,0.2000000000000001
2019-08-23,0.03514313612943255
2019-08-30,0.19999999999999998
2019-09-06,0.20000000000000065
2019-09-13,0.029421039984009002
2019-09-20,0.037108351900146476
2019-09-27,0.19999999999999993
2019-10-04,0.18241031615501702
2019-10-11,0.10460971699047981
2019-10-18,2.0816681711721695e-16
2019-10-25,0.0
2019-11-01,0.0
2019-11-08,0.0
2019-11-15,0.0
2019-11-22,0.0
2019-11-29,0.0
2019-12-06,0.0795109979353686
2019-12-13,0.12048900206463178
2019-12-20,0.0
2019-12-27,0.0
2020-01-03,0.0
2020-01-10,0.0
2020-01-17,0.0
2020-01-24,0.0
2020-01-31,0.0
2020-02-07,0.0
2020-02-14,0.0
2020-02-21,0.1999999999999999
2020-02-28,0.19999999999999976
2020-03-06,0.10563203383971172
2020-03-13,0.09436796616028827
2020-03-20,0.0
2020-03-27,0.006657629271973962
2020-04-03,0.006657629271973878
2020-04-09,0.0
2020-04-17,0.0
2020-04-24,0.0
2020-05-01,0.027816297856484484
2020-05-08,0.027816297856484273
2020-05-15,0.0
2020-05-22,0.0
2020-05-29,0.0
2020-06-05,0.0
2020-06-12,0.0
2020-06-19,0.0
2020-06-26,0.0
2020-07-02,0.0
2020-07-10,0.0
2020-07-17,0.0
2020-07-24,0.0
2020-07-31,0.0
2020-08-07,0.0
2020-08-14,0.0
2020-08-21,0.0
2020-08-28,0.0
2020-09-04,0.0
2020-09-11,0.0
2020-09-18,0.01771004661602722
2020-09-25,0.01771004661602727
2020-10-02,0.19999999999999996
2020-10-09,0.004617188625485079
2020-10-16,0.01170561389764742
2020-10-23,0.007198155327605045
2020-10-30,0.03897582500010925
2020-11-06,0.01697057926385688
2020-11-13,0.014768212278039925
2020-11-20,0.004073028783087013
2020-11-27,0.002657208162809387
2020-12-04,0.0030399506079930474
2020-12-11,6.938893903907228e-17
2020-12-18,0.0
2020-12-24,0.012007992370361811
2020-12-31,0.0013830105564109035
2021-01-08,0.010077936403002788
2021-01-15,0.01731384847907454
2021-01-22,0.006100491593235314
2021-01-29,0.027354429839625237
2021-02-05,0.09972056566679893
2021-02-12,0.052087355964488366
2021-02-19,0.048192078368714225
2021-02-26,3.469446951953616e-16
2021-03-05,0.0
2021-03-12,0.15302594052299778
2021-03-19,0.24697405947700246
2021-03-26,0.39999999999999986
2021-04-01,0.12558232325950883
2021-04-09,0.08433184299176123
2021-04-16,0.3156681570082384
2021-04-23,0.19999999999999954
2021-04-30,0.1929835435627601
2021-05-07,0.3929835435627603
2021-05-14,0.19999999999999996
2021-05-21,0.0
2021-05-28,0.20000000000000023
2021-06-04,0.19999999999999996
2021-06-11,0.12068007323508659
2021-06-18,0.12068007323508663
2021-06-25,0.05081892566171889
2021-07-02,0.009600326801855739
2021-07-09,0.3999999999999998
2021-07-16,0.39999999999999997
2021-07-23,0.0
2021-07-30,0.20000000000000007
2021-08-06,0.023420008941495984
2021-08-13,0.0
2021-08-20,0.2532012263625182
2021-08-27,0.14679877363748206
2021-09-03,0.3161040455317192
2021-09-10,0.08389595446828041
2021-09-17,0.1999999999999994
2021-09-24,0.18579014129858745
2021-10-01,0.3999999999999998
2021-10-08,0.20000000000000037
2021-10-15,0.20000000000000046
2021-10-22,0.0
2021-10-29,0.17054206261328642
2021-11-05,0.029457937386714844
2021-11-12,0.19999999999999957
2021-11-19,8.326672684688675e-17
2021-11-26,0.2000000000000003
2021-12-03,5.551115123125784e-17
2021-12-10,5.551115123125784e-17
2021-12-17,0.020055915187889788
2021-12-23,0.02005591518788976
2021-12-31,2.7755575615628914e-17
2022-01-07,0.20000000000000087
2022-01-14,0.0
2022-01-21,0.1999999999999993
2022-01-28,0.0
2022-02-04,0.0
2022-02-11,0.0
2022-02-18,0.0
2022-02-25,0.0
2022-03-04,0.19999999999999998
2022-03-11,0.0
2022-03-18,0.20000000000000015
2022-03-25,5.551115123125783e-17
2022-04-01,0.19999999999999996
2022-04-08,4.163336342344337e-17
2022-04-14,0.0
2022-04-22,0.0
2022-04-29,0.0
2022-05-06,0.0
2022-05-13,0.0
2022-05-20,0.0
2022-05-27,0.0
2022-06-03,0.0
2022-06-10,0.0
2022-06-17,0.0
2022-06-24,0.0
2022-07-01,0.0
2022-07-08,0.0
2022-07-15,0.0
2022-07-22,0.0
2022-07-29,0.0
2022-08-05,0.0
2022-08-12,0.0
2022-08-19,0.0
2022-08-26,0.0
2022-09-02,0.0
2022-09-09,0.0
2022-09-16,0.0
2022-09-23,0.0
2022-09-30,0.0
2022-10-07,0.0
2022-10-14,0.0
2022-10-21,0.0
2022-10-28,0.0
2022-11-04,0.0
2022-11-11,0.0
2022-11-18,0.0
2022-11-25,0.0
2022-12-02,0.055289964371271164
2022-12-09,0.34471003562872893
2022-12-16,0.002076285851919841
2022-12-23,0.025163333705210435
2022-12-30,0.07929959456913689
2023-01-06,0.0388342374536205
2023-01-13,0.008820304373569494
2023-01-20,0.018698379779874208
2023-01-27,0.016523946423920948
2023-02-03,0.19999999999999984
2023-02-10,0.20000000000000007
2023-02-17,0.034595497755842204
2023-02-24,0.3579590141819787
2023-03-03,0.35795901418197856
2023-03-10,0.06454763149975358
2023-03-17,0.1999999999999999
2023-03-24,0.20000000000000012
2023-03-31,0.025168980249555516
2023-04-06,0.07259275594908614
2023-04-14,0.07072756584546473
2023-04-21,0.1369686520357581
2023-04-28,0.19999999999999998
2023-05-05,0.055559683873463966
2023-05-12,0.17427415740941998
2023-05-19,1.3877787807814462e-16
2023-05-26,0.5999999999999992
2023-06-02,0.3275061772599716
2023-06-09,0.09856656847669402
2023-06-16,0.17898640856435033
2023-06-23,0.19999999999999973
2023-06-30,4.163336342344339e-17
2023-07-07,0.3999999999999998
2023-07-14,0.07713709453190756
2023-07-21,0.034171178763706705
2023-07-28,0.04943592735149649
2023-08-04,0.19999999999999996
2023-08-11,0.19999999999999993
2023-08-18,0.2
2023-08-25,0.0
2023-09-01,0.19999999999999998
2023-09-08,0.026538743584763446
2023-09-15,0.03089607517065289
2023-09-22,0.007362769246549584
2023-09-29,0.06136565506509967
2023-10-06,0.07053609567906118
2023-10-13,0.0
2023-10-20,0.2000000000000002
2023-10-27,0.0
2023-11-03,0.0
