RebalanceDate,VOO,IVV,SPY,VTI,QQQ,VEA,VUG,GLD,IEFA,VTV
2015-07-06,0.0,0.0,0.0,4.926614671774132e-16,0.24999999999999994,0.25,0.25,0.0,0.25,3.346380381560766e-17
2015-07-07,0.0,0.0,0.0,4.92661467177413e-16,0.24999999999999983,0.2499999999999999,0.2499999999999999,0.0,0.2499999999999999,3.346380381560765e-17
2015-07-08,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-07-09,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-07-10,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-07-13,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-07-14,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-07-15,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-07-16,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-07-17,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-07-20,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-07-21,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-07-22,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-07-23,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-07-24,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-07-27,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-07-28,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-07-29,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-07-30,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-07-31,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-08-03,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-08-04,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-08-05,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-08-06,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-08-07,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-08-10,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-08-11,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-08-12,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-08-13,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-08-14,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-08-17,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
2015-08-18,0.0,0.0,0.0,4.926614671774131e-16,0.24999999999999986,0.24999999999999992,0.24999999999999992,0.0,0.24999999999999992,3.3463803815607656e-17
