Scenario,stressed_return,stressed_volatility,largest_loss_contributor,largest_loss_contribution,notes
equity_market_shock,-0.16000000000000003,,QQQ,-0.04000000000000001,Custom return shock applied asset by asset.
interest_rate_shock_proxy,0.0,,VOO,0.0,Custom return shock applied asset by asset.
correlation_spike,,0.24369949586583578,GLD,0.06075990923920963,Returns are unchanged in this scenario; only portfolio volatility is stressed.
single_asset_crash,-0.06,,QQQ,-0.06,Custom return shock applied asset by asset.
