Split,benchmark_component,equal_weight_component,restricted_random_component,markowitz_component,raw_return_component,significance_component,significance_bonus,weight_error_penalty,composite_score
train,29.71112354322618,19.601485547372963,14.731947571464087,23.679451323171584,9.967933595240817,14.903388099461644,10.0,6.59167617559433,116.00365350434294
validation,23.48893622935979,16.789379941530097,12.315186522140426,24.28418104227934,9.189361820468504,14.284794337191205,10.0,7.790928483009338,102.56091140996003
all,29.440526700850363,19.381123663437382,14.563640534751205,23.83544854996387,9.93713547040327,14.949339301215566,10.0,6.839141249656677,115.26807297096497
