Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_training_reward,train_demo_excess_return,train_policy_excess_return,train_policy_training_reward,validation_demo_training_reward,validation_demo_excess_return,validation_policy_excess_return,validation_policy_training_reward,validation_policy_excess_vs_markowitz,validation_t_statistic,validation_p_value,selected_checkpoint
1,1.389723858833313,-0.39406060814857485,1.7837844753265382,0.05263273641467094,-13.312855796813965,0.02493261732161045,0.02610228955745697,0.0037957923486828804,0.0026261189486831427,0.011897670105099678,0.010655492544174194,-0.001756255398504436,-0.0005140772555023432,0.00887354090809822,-1.0483888498430838,0.8477551505576658,False
2,0.6744110321998597,-0.19728777229785918,0.8716988110542297,0.05248077780008316,-13.397735214233398,0.02493261732161045,0.02610228955745697,0.0038722276221960783,0.0027025542221963406,0.011897670105099678,0.010655492544174194,-0.0017496049404144287,-0.000507426739204675,0.00888019148260355,-1.0410012836549591,0.8460808762643445,False
3,0.5911897969245911,-0.5841905188560486,1.1753803157806397,0.05231802120804787,-13.392824325561524,0.02493261732161045,0.02610228955745697,0.00398067943751812,0.002811006037518382,0.011897670105099678,0.010655492544174194,-0.0017030537128448486,-0.0004608755116350949,0.00892674271017313,-1.0173053872690414,0.8406235702275291,False
4,0.5719779825210571,-0.17202412635087966,0.7440021157264709,0.05213334992527962,-13.457570190429687,0.02493261732161045,0.02610228955745697,0.004024369642138481,0.0028546962421387434,0.011897670105099678,0.010655492544174194,-0.0016944271046668291,-0.0004522488743532449,0.008935368619859219,-1.0116206550948807,0.8392945798200522,False
5,0.52086918592453,-0.46934252977371216,0.9902117156982422,0.05205733984708786,-13.467513999938966,0.02493261732161045,0.02610228955745697,0.004020741209387779,0.002851067576557398,0.011897670105099678,0.010655492544174194,-0.0016846427461132407,-0.00044246454490348697,0.008945153094828129,-1.0067673523075695,0.8381539034165987,False
6,0.51631995677948,-0.3676391965150833,0.8839591598510742,0.05197984650731087,-13.510392456054687,0.02493261732161045,0.02610228955745697,0.004027043003588915,0.0028573693707585335,0.011897670105099678,0.010655492544174194,-0.0016695811646059155,-0.0004274029051885009,0.008960215374827385,-0.9980948431025112,0.8361016889238719,False
7,0.49522545576095583,-0.3496724677085876,0.8448979234695435,0.052060041725635525,-13.564133491516113,0.02493261732161045,0.02610228955745697,0.0040719229727983475,0.002902249339967966,0.011897670105099678,0.010655492544174194,-0.0016510876594111323,-0.00040890942909754813,0.008978708647191525,-0.9868703502129826,0.8334190935706032,False
8,0.454989253282547,-0.44747943758964537,0.9024686908721924,0.051870791912078856,-13.623823738098144,0.02493261732161045,0.02610228955745697,0.004125522915273905,0.002955849515274167,0.011897670105099678,0.010655492544174194,-0.001634134678170085,-0.0003919564769603312,0.00899566151201725,-0.9766763269656167,0.83095685793088,False
9,0.45246134757995604,-0.2901866096258163,0.7426479506492615,0.051744782775640485,-13.749476013183594,0.02493261732161045,0.02610228955745697,0.004181802272796631,0.003012128872796893,0.011897670105099678,0.010655492544174194,-0.0016265397425740957,-0.00038436148315668106,0.00900325644761324,-0.9709204491531076,0.8295556978091752,False
10,0.45157584428787234,-0.4134743976593018,0.8650502419471741,0.05163036599755287,-13.804127006530761,0.02493261732161045,0.02610228955745697,0.004228416830301285,0.0030587431974709034,0.011897670105099678,0.010655492544174194,-0.001622083131223917,-0.0003799049009103328,0.009007712826132774,-0.968049123973371,0.8288537856915722,False
11,0.4536085093021393,-0.42497718453407285,0.8785856938362122,0.05154285579919815,-13.873925743103028,0.02493261732161045,0.02610228955745697,0.004322402644902468,0.0031527290120720863,0.011897670105099678,0.010655492544174194,-0.0016033878782764077,-0.00036120967706665397,0.009026408195495605,-0.9572131330387076,0.826187222572084,False
12,0.46119329690933225,-0.31729997754096984,0.7784932613372803,0.05131286948919296,-13.970495681762696,0.02493261732161045,0.02610228955745697,0.004467332735657692,0.003297659568488598,0.011897670105099678,0.010655492544174194,-0.0015839406987652183,-0.0003417624975554645,0.009045855142176151,-0.9436667546887924,0.8228144472844114,False
13,0.4727612566947937,-0.40094427824020384,0.8737055349349976,0.051149224042892454,-13.922476005554199,0.02493261732161045,0.02610228955745697,0.00462406175211072,0.0034543881192803383,0.011897670105099678,0.010655492544174194,-0.0015693673631176353,-0.0003271891619078815,0.009060428477823734,-0.9318162657398501,0.8198281791006408,False
14,0.46804908752441404,-0.5169620656967163,0.9850111532211304,0.05081155866384506,-13.830384407043457,0.02493261732161045,0.02610228955745697,0.004792317748069763,0.0036226443480700254,0.011897670105099678,0.010655492544174194,-0.0015526413917541504,-0.00031046319054439664,0.009077155031263828,-0.9189144588312247,0.8165390905771952,False
15,0.44347249031066893,-0.4295982778072357,0.8730707812309265,0.05032939895987511,-13.836076202392578,0.02493261732161045,0.02610228955745697,0.00499642314389348,0.003826749511063099,0.011897670105099678,0.010655492544174194,-0.0015600690385326743,-0.00031789083732292056,0.009069726802408695,-0.9187572288079539,0.8164987640614676,False
16,0.436955509185791,-0.40902806758880617,0.8459835767745971,0.04976172879338264,-13.801740036010742,0.02493261732161045,0.02610228955745697,0.005283993668854237,0.004114320036023855,0.011897670105099678,0.010655492544174194,-0.0015573776327073574,-0.0003151994606014341,0.009072418324649334,-0.9124907246507603,0.8148867538623432,False
17,0.44279579639434813,-0.3556173956394196,0.7984131789207458,0.04906491056084633,-13.87867733001709,0.02493261732161045,0.02610228955745697,0.005770091433078051,0.004600417800247669,0.011897670105099678,0.010655492544174194,-0.001512064365670085,-0.0002698861644603312,0.00911773182451725,-0.8792568319142221,0.8061822480118925,False
18,0.443305139541626,-0.3320387554168701,0.7753438782691956,0.048161830306053165,-14.050899505615234,0.02493261732161045,0.02610228955745697,0.006479790434241295,0.005310116335749626,0.011897670105099678,0.010655492544174194,-0.0014361715875566006,-0.00019399340089876205,0.00919362436980009,-0.8312043438734218,0.7931365598216931,False
19,0.42253642916679385,-0.3935446774959564,0.8160811066627502,0.046605821847915646,-14.257235870361328,0.02493261732161045,0.02610228955745697,0.007410153746604919,0.006240480579435825,0.011897670105099678,0.010655492544174194,-0.0013499397318810225,-0.00010776152339531109,0.009279856458306313,-0.7807221116269363,0.778851873592588,False
20,0.41437706232070926,-0.4211505126953125,0.8355275750160217,0.04553645223379135,-14.477279014587403,0.02493261732161045,0.02610228955745697,0.008594314567744732,0.007424641400575638,0.011897670105099678,0.010655492544174194,-0.001291160355322063,-4.898217594018206e-05,0.009338635951280594,-0.7466546817233473,0.7688817078914758,False
21,0.4147112357616425,-0.3968945109844208,0.8116057467460632,0.0436402827501297,-14.763063659667969,0.02493261732161045,0.02610228955745697,0.010109989903867245,0.00894031673669815,0.011897670105099678,0.010655492544174194,-0.0011805135291069746,6.166467937873676e-05,0.00944928266108036,-0.6850209174023538,0.7501833242147946,False
22,0.41012133479118346,-0.39623969435691836,0.8063610291481018,0.04211056336760521,-15.278935623168945,0.02493261732161045,0.02610228955745697,0.012185368686914444,0.011015694588422775,0.011897670105099678,0.010655492544174194,-0.001062322175130248,0.00017985609883908182,0.009567474015057087,-0.6185825857579433,0.7291064868565788,False
23,0.3913709032535553,-0.4580149662494659,0.8493858695030212,0.03965440049767494,-15.933652648925781,0.02493261732161045,0.02610228955745697,0.014763786457479,0.013594112358987331,0.011897670105099678,0.010655492544174194,-0.0008291074773296714,0.00041307072388008237,0.009800688363611698,-0.47756356076978107,0.6814450894073836,False
24,0.3786253237724304,-0.38094210147857666,0.7595674252510071,0.037916058599948885,-16.77335289001465,0.02493261732161045,0.02610228955745697,0.017663467675447464,0.016493795439600945,0.011897670105099678,0.010655492544174194,-0.0004598406667355448,0.0007823375635780394,0.010169954970479012,-0.2670139658434918,0.6041756476166906,False
