Split,samples,demo_mean_excess_return,policy_mean_excess_return,demo_mean_raw_return,policy_mean_raw_return,mean_abs_weight_error
train,204.0,0.0054228780791163445,0.0029375196900218725,0.008313060738146305,0.005817562807351351,0.17756851017475128
validation,52.0,0.004568594507873058,0.006916911341249943,0.002212174702435732,0.004548197612166405,0.17490510642528534
all,256.0,0.005249351728707552,0.004169877618551254,0.007073818705976009,0.005983767099678516,0.15832288563251495
