Index,universe_id,tickers,rebalance_date,forward_end,samples,selected_objective,weighted_reward,blended_excess_reward
0,0,"CHD,FSLR,FTNT,HAS,HCA,NTAP,PH,SBAC,VRT,VTR",2022-11-11,2022-11-18,1,mean_variance,0.02318390390112535,0.023203492164611816
1,1,"CDNS,CHD,HAS,IBM,IQV,KKR,LH,OMC,SJM,TRV",2025-05-30,2025-06-06,1,equal_weight,-0.0022098684244339964,-0.002200007438659668
2,2,"BKR,ETR,FITB,GOOG,INTC,KKR,PANW,SATS,TRV,USB",2024-12-20,2024-12-27,1,equal_weight,-0.0010659245177055798,-0.0010652542114257812
3,3,"AWK,BF-B,BR,COR,FITB,HON,IBM,PAYX,PSA,TAP",2024-03-01,2024-03-08,1,mean_variance,0.009024057167294906,0.009019017219543457
4,4,"BIIB,CARR,EXE,HCA,MSI,NI,NWSA,OKE,VTR,XYL",2024-02-23,2024-03-01,1,mean_variance,1.569179228881601e-05,1.9669532775878906e-05
5,5,"BIIB,CARR,CHD,FCX,MSI,NDAQ,NVR,SATS,VTR,WY",2025-09-26,2025-10-03,1,equal_weight,-0.0024178711800129176,-0.00242459774017334
6,6,"APP,BF-B,ETR,HAS,IBM,INTC,LH,PANW,PSX,TRV",2022-11-04,2022-11-11,1,equal_weight,-0.001661972556151555,-0.0016319751739501953
7,7,"AME,ETR,FCX,GPN,HSIC,LH,LLY,SJM,TAP,TMO",2025-02-14,2025-02-21,1,min_variance,0.006939376973681964,0.0069380998611450195
8,8,"BKR,EQIX,ESS,FSLR,NI,NVR,PH,RSG,VST,WFC",2023-04-14,2023-04-21,1,min_variance,0.0004547521575772666,0.00045549869537353516
9,9,"CPRT,EXE,FITB,FTNT,IBM,LH,SATS,VTR,WDC,WFC",2022-11-18,2022-11-25,1,min_variance,0.001509090055450967,0.0015201568603515625
10,10,"APO,BIIB,CDNS,EXE,HON,LH,USB,VST,WFC,WY",2024-06-28,2024-07-05,1,mean_variance,0.021221802911342128,0.021220922470092773
11,11,"AME,BIIB,FITB,GPN,HAS,NTAP,PH,PSX,RF,TRV",2026-03-06,2026-03-13,1,mean_variance,0.02892574722125451,0.028922200202941895
12,12,"APO,CDNS,CHD,GOOG,NDAQ,PH,POOL,RF,STE,TTD",2025-04-11,2025-04-17,1,min_variance,-0.00021852374360643802,-0.0002097487449645996
13,13,"AME,CARR,CHD,DHI,ETR,HAS,PAYX,TRV,WY,XYL",2025-05-16,2025-05-23,1,min_variance,0.00988618069209711,0.00988858938217163
14,14,"AME,BF-B,CARR,CMS,IBM,PANW,POOL,PSX,SBAC,STE",2025-03-14,2025-03-21,1,mean_variance,0.0016659234965398604,0.0016997456550598145
15,15,"AME,ETR,EXE,IQV,LLY,NI,USB,VRTX,VST,XYL",2025-06-20,2025-06-27,1,equal_weight,-0.002101608811460834,-0.002087831497192383
16,16,"ACGL,CDW,CHD,GS,IBM,MSI,PSA,SJM,USB,VRT",2024-06-14,2024-06-21,1,mean_variance,-0.00011052498880730553,-8.690357208251953e-05
17,17,"DHI,FSLR,HSIC,LMT,NI,PSA,PSX,TTD,VST,XYL",2022-12-30,2023-01-06,1,mean_variance,-0.0005342339458843135,-0.0004754066467285156
18,18,"EQIX,ES,ESS,IBM,LMT,NDAQ,SJM,TTD,WY,YUM",2025-08-29,2025-09-05,1,min_variance,0.00281619625619356,0.002817869186401367
19,19,"CARR,CDNS,CMS,FCX,FSLR,SATS,VRT,VRTX,VST,WDC",2024-03-15,2024-03-22,1,mean_variance,0.04611713072976682,0.04611682891845703
20,20,"AME,APP,CHD,CMS,HSIC,MAR,NDAQ,OKE,SJM,WFC",2024-05-24,2024-05-31,1,min_variance,0.0016099554288526185,0.001622021198272705
