Date,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,VNQ
2015-01-02,170.125,94.66508483886719,102.78699493408203,43.780635833740234,30.355051040649414,93.71207427978516,81.02703857421875,114.08000183105469,52.549861907958984
2015-01-05,167.05262756347656,93.27645111083984,101.41280364990234,42.747188568115234,29.814823150634766,95.1841812133789,81.35839080810547,115.80000305175781,52.837486267089844
2015-01-06,165.47914123535156,92.0257797241211,99.65836334228516,42.26298141479492,29.689542770385742,96.89911651611328,81.689697265625,117.12000274658203,53.36157989501953
2015-01-07,167.54122924804688,93.21208190917969,100.8855972290039,42.73272705078125,30.331571578979492,96.7077407836914,81.79792785644531,116.43000030517578,54.17967987060547
2015-01-08,170.51426696777344,94.99610900878906,102.59686279296875,43.31087875366211,30.848310470581055,95.4270248413086,81.5341796875,115.94000244140625,54.38418197631836
2015-01-09,169.1477813720703,94.37080383300781,101.611572265625,43.101295471191406,30.746530532836914,96.47219848632812,81.75059509277344,117.26000213623047,54.409759521484375
2015-01-12,167.82284545898438,93.38681030273438,101.2745132446289,43.00012969970703,30.495983123779297,97.0242691040039,81.90606689453125,118.55999755859375,54.825191497802734
2015-01-13,167.3507537841797,93.35919952392578,101.35230255126953,43.21692657470703,30.762189865112305,97.0242691040039,81.98047637939453,118.16000366210938,54.742103576660156
2015-01-14,166.34031677246094,92.84423065185547,100.94612121582031,43.09407043457031,30.58993911743164,97.76029968261719,82.12246704101562,117.97000122070312,55.215084075927734
2015-01-15,164.81668090820312,91.63951873779297,99.24349212646484,43.36869812011719,30.660402297973633,99.2986068725586,82.54847717285156,120.94000244140625,55.3428955078125
2015-01-16,166.97805786132812,92.71546936035156,100.85965728759766,43.93239212036133,30.918777465820312,98.03260803222656,82.08866882324219,122.5199966430664,55.822227478027344
2015-01-20,167.33412170410156,93.45116424560547,100.43617248535156,44.08415603637695,30.871801376342773,99.33539581298828,82.27799987792969,124.19999694824219,55.381248474121094
2015-01-21,168.17884826660156,93.92938232421875,100.11642456054688,44.431053161621094,31.55297088623047,98.18717956542969,82.24420166015625,124.2300033569336,55.3428955078125
2015-01-22,170.67991638183594,95.66741180419922,102.15606689453125,44.59727096557617,32.15583801269531,97.8338623046875,82.2036361694336,125.2300033569336,56.327178955078125
2015-01-23,169.7440948486328,95.87897491455078,102.08694458007812,44.34433364868164,31.91312599182129,99.19557189941406,82.68367767333984,124.2300033569336,56.16737365722656
2015-01-26,170.14157104492188,95.76860809326172,103.07218170166016,44.95139694213867,31.928787231445312,98.89376831054688,82.66342163085938,122.98999786376953,56.640357971191406
2015-01-27,167.8972930908203,93.2856216430664,102.57957458496094,45.01643753051758,31.756526947021484,99.04832458496094,82.72425842285156,124.4000015258789,56.65951919555664
2015-01-28,165.74412536621094,92.80744171142578,100.85103607177734,44.34433364868164,31.41203498840332,100.66759490966797,83.28551483154297,123.41999816894531,56.28242874145508
2015-01-29,167.2761688232422,93.6994400024414,102.24249267578125,44.95139694213867,31.41203498840332,100.00516510009766,83.08941650390625,120.76000213623047,56.48055648803711
2015-01-30,165.17269897460938,92.97299194335938,99.99543762207031,44.24314880371094,30.5507869720459,101.77903747558594,83.77237701416016,123.44999694824219,55.31733322143555
2015-02-02,167.21823120117188,93.78224182128906,100.9115219116211,44.7779426574707,31.098859786987305,101.39479064941406,83.85033416748047,122.41999816894531,55.17034149169922
