Date,VOO,IVV,SPY,VTI,QQQ,VEA,VUG,GLD,IEFA,VTV
2015-01-02,155.2274627685547,170.64637756347656,170.12496948242188,87.81742858886719,94.66506958007812,26.925600051879883,94.38887023925781,114.08000183105469,39.75822448730469,63.5670280456543
2015-01-05,152.50022888183594,167.6499481201172,167.0525665283203,86.30846405029297,93.27642822265625,26.32550811767578,92.74105072021484,115.80000305175781,38.86527633666992,62.39363098144531
2015-01-06,151.0006866455078,166.13934326171875,165.4791259765625,85.46279907226562,92.02576446533203,26.032594680786133,91.86279296875,117.12000274658203,38.46199417114258,61.84451675415039
2015-01-07,152.88754272460938,168.19473266601562,167.54119873046875,86.48255920410156,93.21206665039062,26.311214447021484,93.01268768310547,116.43000030517578,38.85806655883789,62.53653335571289
2015-01-08,155.57350158691406,171.19940185546875,170.51422119140625,88.00808715820312,94.99613952636719,26.711271286010742,94.6514663696289,115.94000244140625,39.35496139526367,63.68735885620117
2015-01-09,154.263427734375,169.75486755371094,169.14779663085938,87.27851104736328,94.37080383300781,26.582679748535156,93.94525909423828,117.26000213623047,39.17491912841797,63.10819625854492
2015-01-12,153.11825561523438,168.46717834472656,167.82276916503906,86.65667724609375,93.38678741455078,26.554105758666992,93.11225891113281,118.55999755859375,39.11011505126953,62.67945098876953
2015-01-13,152.7144775390625,168.02972412109375,167.3507080078125,86.45770263671875,93.35919952392578,26.68269920349121,93.03079223632812,118.16000366210938,39.26854705810547,62.431217193603516
2015-01-14,151.81640625,167.0143280029297,166.3404083251953,85.98514556884766,92.84419250488281,26.611255645751953,92.57809448242188,117.97000122070312,39.20372772216797,62.010009765625
2015-01-15,150.3992462158203,165.44601440429688,164.81661987304688,85.11458587646484,91.63951110839844,26.76127815246582,91.51874542236328,120.94000244140625,39.41977310180664,61.56620407104492
2015-01-16,152.2613525390625,167.56739807128906,166.97805786132812,86.2421646118164,92.71548461914062,27.054197311401367,92.64146423339844,122.5199966430664,39.887855529785156,62.37103271484375
2015-01-20,152.6403350830078,167.9801788330078,167.33416748046875,86.36650085449219,93.45116424560547,27.175640106201172,93.0670166015625,124.19999694824219,40.03187942504883,62.38610076904297
2015-01-21,153.4395294189453,168.80555725097656,168.1788787841797,86.75618743896484,93.92935180664062,27.375661849975586,93.555908203125,124.2300033569336,40.3055305480957,62.71703338623047
