Index,duration_key,model_name,directory,all_score_benchmark_component,all_score_equal_weight_component,all_score_restricted_random_component,all_score_raw_return_component,all_score_significance_component,all_score_significance_bonus,all_score_weight_error_penalty,all_score_composite_score,validation_score_benchmark_component,validation_score_equal_weight_component,validation_score_restricted_random_component,validation_score_raw_return_component,validation_score_significance_component,validation_score_significance_bonus,validation_score_weight_error_penalty,validation_score_composite_score,all_benchmark_samples,all_benchmark_benchmark_mean_raw_return,all_benchmark_policy_mean_raw_return,all_benchmark_policy_mean_excess_return,all_benchmark_t_statistic,all_benchmark_p_value,all_benchmark_significant_outperformance,validation_benchmark_samples,validation_benchmark_benchmark_mean_raw_return,validation_benchmark_policy_mean_raw_return,validation_benchmark_policy_mean_excess_return,validation_benchmark_t_statistic,validation_benchmark_p_value,validation_benchmark_significant_outperformance,all_evaluation_samples,all_evaluation_demo_mean_excess_return,all_evaluation_policy_mean_excess_return,all_evaluation_demo_mean_raw_return,all_evaluation_policy_mean_raw_return,all_evaluation_mean_abs_weight_error,validation_evaluation_samples,validation_evaluation_demo_mean_excess_return,validation_evaluation_policy_mean_excess_return,validation_evaluation_demo_mean_raw_return,validation_evaluation_policy_mean_raw_return,validation_evaluation_mean_abs_weight_error
30,6mo,promoted,outputs/replay_checkpoint_suites/6mo,9.618810514240902,0.0,0.0,5.876224268484124,7.533391182926331,3.333333333333333,2.7338647842407218,23.627894514743968,16.585083509198853,0.0,0.0,-2.01964539180284,2.4929721559092757,0.0,10.353082716464995,6.7053275568402935,256.0,0.0034168090205639,0.0067402673885226,0.003323458135128,4.970508026479292,6.131911091658895e-07,1.0,52.0,-0.0082723638042807,-0.0020477978978306,0.0062245656736195,1.5097882290049804,0.06863431570275,0.0,256.0,0.0075006447732448,0.003323458135128,0.0109257698059082,0.0067402673885226,0.0455644130706787,52.0,0.0088787907734513,0.0062245656736195,0.0006116571603342,-0.0020477978978306,0.1725513786077499
31,6mo,balanced_192x6x4,outputs/replay_checkpoint_suites/6mo/candidate_models/balanced_192x6x4,9.618810514240902,0.0,0.0,5.876224268484124,7.533391182926331,3.333333333333333,2.7338647842407218,23.627894514743968,16.585083509198853,0.0,0.0,-2.01964539180284,2.4929721559092757,0.0,10.353082716464995,6.7053275568402935,256.0,0.0034168090205639,0.0067402673885226,0.003323458135128,4.970508026479292,6.131911091658895e-07,1.0,52.0,-0.0082723638042807,-0.0020477978978306,0.0062245656736195,1.5097882290049804,0.06863431570275,0.0,256.0,0.0075006447732448,0.003323458135128,0.0109257698059082,0.0067402673885226,0.0455644130706787,52.0,0.0088787907734513,0.0062245656736195,0.0006116571603342,-0.0020477978978306,0.1725513786077499
6,1y,promoted,outputs/replay_checkpoint_suites/1y,8.641623930610361,0.0,0.0,6.539376500430533,6.490841072136861,3.333333333333333,3.083626180887222,21.921548655623866,-5.715879237106972,0.0,0.0,2.725394961255981,-0.7537398129945443,0.0,10.572398900985714,-14.316622989831249,256.0,0.0048570455983281,0.0078214760869741,0.0029644302558153,4.169176845363521,2.0959355336384815e-05,1.0,52.0,0.0047249142080545,0.0027960503939539,-0.0019288635812699,-0.4526251032420754,0.6736308334404335,0.0,256.0,0.0074179107323288,0.0029644302558153,0.0122841084375977,0.0078214760869741,0.0513937696814537,52.0,0.0062606055289506,-0.0019288635812699,0.0109949624165892,0.0027960503939539,0.1762066483497619
9,1y,deeper_224x8x5,outputs/replay_checkpoint_suites/1y/candidate_models/deeper_224x8x5,8.641623930610361,0.0,0.0,6.539376500430533,6.490841072136861,3.333333333333333,3.083626180887222,21.921548655623866,-5.715879237106972,0.0,0.0,2.725394961255981,-0.7537398129945443,0.0,10.572398900985714,-14.316622989831249,256.0,0.0048570455983281,0.0078214760869741,0.0029644302558153,4.169176845363521,2.0959355336384815e-05,1.0,52.0,0.0047249142080545,0.0027960503939539,-0.0019288635812699,-0.4526251032420754,0.6736308334404335,0.0,256.0,0.0074179107323288,0.0029644302558153,0.0122841084375977,0.0078214760869741,0.0513937696814537,52.0,0.0062606055289506,-0.0019288635812699,0.0109949624165892,0.0027960503939539,0.1762066483497619
24,5y,promoted,outputs/replay_checkpoint_suites/5y,15.203502809879483,0.0,0.0,7.914399256271585,4.396130806422287,3.333333333333333,9.004753232002253,21.84261297390443,-1.634191207699653,0.0,0.0,6.209334438061788,-0.19822385305440002,0.0,10.212824642658234,-5.835905265350498,256.0,0.0051688188686966,0.0107527393847703,0.0055839205160737,2.717345926947845,0.0035158447225006,1.0,52.0,0.0078104985877871,0.0072652283124625,-0.0005452701589092,-0.1189412358911228,0.5471054081416737,0.0,256.0,0.0064542545005679,0.0055839205160737,0.0116354245692491,0.0107527393847703,0.1500792205333709,52.0,0.0074925767257809,-0.0005452701589092,0.0153131633996963,0.0072652283124625,0.1702137440443039
27,5y,deeper_224x8x5,outputs/replay_checkpoint_suites/5y/candidate_models/deeper_224x8x5,15.203502809879483,0.0,0.0,7.914399256271585,4.396130806422287,3.333333333333333,9.004753232002253,21.84261297390443,-1.634191207699653,0.0,0.0,6.209334438061788,-0.19822385305440002,0.0,10.212824642658234,-5.835905265350498,256.0,0.0051688188686966,0.0107527393847703,0.0055839205160737,2.717345926947845,0.0035158447225006,1.0,52.0,0.0078104985877871,0.0072652283124625,-0.0005452701589092,-0.1189412358911228,0.5471054081416737,0.0,256.0,0.0064542545005679,0.0055839205160737,0.0116354245692491,0.0107527393847703,0.1500792205333709,52.0,0.0074925767257809,-0.0005452701589092,0.0153131633996963,0.0072652283124625,0.1702137440443039
26,5y,base_user_shape,outputs/replay_checkpoint_suites/5y/candidate_models/base_user_shape,13.396046365864347,0.0,0.0,7.6043498539186665,4.626874986391726,3.333333333333333,7.56942093372345,21.391183605784622,7.3986127086267075,0.0,0.0,7.750532682883473,1.0044932510271005,0.0,10.201178491115568,5.952460151421713,256.0,0.0051688188686966,0.0099724568426609,0.0048036375083029,2.869566622235477,0.0022274465256207,1.0,52.0,0.0078104985877871,0.0103286104276776,0.0025181116070598,0.6035993073231668,0.2743927280232858,0.0,256.0,0.0064542545005679,0.0048036375083029,0.0116354245692491,0.0099724568426609,0.1261570155620575,52.0,0.0074925767257809,0.0025181116070598,0.0153131633996963,0.0103286104276776,0.1700196415185928
25,5y,balanced_192x6x4,outputs/replay_checkpoint_suites/5y/candidate_models/balanced_192x6x4,11.235150472380287,0.0,0.0,7.213887988164808,5.31582071414229,3.333333333333333,6.011338233947754,21.086854274072966,9.086989972885076,0.0,0.0,7.982460253084963,1.2555079143307126,0.0,10.262959599494934,8.06199854080582,256.0,0.0051688188686966,0.00910534709692,0.0039365282282233,3.3340786898376975,0.0004914848188218,1.0,52.0,0.0078104985877871,0.0109375901520252,0.0031270910985767,0.7550713424105716,0.2268395806053763,0.0,256.0,0.0064542545005679,0.0039365282282233,0.0116354245692491,0.00910534709692,0.1001889705657959,52.0,0.0074925767257809,0.0031270910985767,0.0153131633996963,0.0109375901520252,0.1710493266582489
28,5y,regularized_256x8x5,outputs/replay_checkpoint_suites/5y/candidate_models/regularized_256x8x5,13.795190276950205,0.0,0.0,7.674072147429155,3.5107734406248303,3.333333333333333,10.363875031471247,17.949494166866273,-17.369935519280208,0.0,0.0,1.1952195291189551,-2.2010973401874647,0.0,10.380298197269436,-28.756111527618156,256.0,0.0051688188686966,0.0101398983970284,0.0049710795283317,2.1462441091782956,0.0163987009467738,1.0,52.0,0.0078104985877871,0.0012009602505713,-0.0066095385700464,-1.3302618438781395,0.9053248925505892,0.0,256.0,0.0064542545005679,0.0049710795283317,0.0116354245692491,0.0101398983970284,0.1727312505245208,52.0,0.0074925767257809,-0.0066095385700464,0.0153131633996963,0.0012009602505713,0.1730049699544906
19,3y,balanced_192x6x4,outputs/replay_checkpoint_suites/3y/candidate_models/balanced_192x6x4,4.596762320742286,0.0,0.0,4.376084897977547,7.747021430699309,3.333333333333333,3.237837105989454,16.81536487676302,-15.363924829545375,0.0,0.0,-2.6252056028465414,-1.1057669589006316,0.0,10.47575443983078,-29.570651831123328,256.0,0.0031482726335525,0.0046926899813115,0.001544417347759,5.143598950775604,2.688873608527603e-07,1.0,52.0,0.0029680030420422,-0.002688136184588,-0.0056561389937996,-0.664665926137576,0.7453707150030335,0.0,256.0,0.0090843122452497,0.001544417347759,0.0122450031340122,0.0046926899813115,0.0539639517664909,52.0,0.0109194619581103,-0.0056561389937996,0.0139007223770022,-0.002688136184588,0.174595907330513
