Split,benchmark_component,equal_weight_component,restricted_random_component,raw_return_component,significance_component,significance_bonus,weight_error_penalty,composite_score
train,7.011924712349909,0.0,0.0,5.964877675763302,1.5557068905294733,0.0,10.74169099330902,3.790818285333664
validation,4.540794285346721,0.0,0.0,7.322594282784634,0.5691304495531877,0.0,10.262421369552612,2.1700976481319305
all,9.677779581315729,0.0,0.0,6.918106488518317,2.511264869171141,0.0,10.491780638694761,8.615370300310426
