Ticker,policy_weight
GLD,0.100001864
IEFA,0.099997975
IVV,0.10000013
QQQ,0.100005
SPY,0.09999927
VEA,0.09999872
VOO,0.1
VTI,0.09999936
VTV,0.09999581
VUG,0.10000187
