Split,samples,demo_mean_training_reward,policy_mean_excess_return,policy_mean_training_reward,demo_mean_raw_return,demo_mean_excess_return,demo_mean_excess_vs_equal_weight,demo_mean_excess_vs_restricted_random,policy_mean_raw_return,policy_mean_excess_vs_equal_weight,policy_mean_excess_vs_restricted_random,mean_abs_weight_error
train,836.0,0.01938610151410103,0.004227017983794212,0.00502545852214098,0.02410924807190895,0.018587661907076836,0.019159138202667236,0.01896185427904129,0.009748602285981178,0.004798495676368475,0.004601211287081242,0.15217138826847076
validation,209.0,0.025553397834300995,0.004640109371393919,0.004352772608399391,0.03128849342465401,0.02584073692560196,0.024259082973003387,0.024052651599049568,0.010087869130074978,0.0030584579799324274,0.0028520242776721716,0.15159451961517334
all,1045.0,0.02061956189572811,0.004309636075049639,0.00489092105999589,0.025545096024870872,0.02003827691078186,0.020179128274321556,0.019980013370513916,0.009816456586122513,0.004450487904250622,0.004251373931765556,0.1520560085773468
