Split,samples,demo_mean_training_reward,policy_mean_excess_return,policy_mean_training_reward,demo_mean_raw_return,demo_mean_excess_return,demo_mean_excess_vs_equal_weight,demo_mean_excess_vs_restricted_random,policy_mean_raw_return,policy_mean_excess_vs_equal_weight,policy_mean_excess_vs_restricted_random,mean_abs_weight_error
train,155.0,0.1509746015071869,0.15098696947097778,0.1509746015071869,0.15702615678310394,0.15098696947097778,0.14987586438655853,0.1495722532272339,0.15702615678310394,0.14987586438655853,0.1495722532272339,0.0
validation,39.0,0.19821272790431976,0.1979549080133438,0.19821272790431976,0.20193588733673096,0.1979549080133438,0.19756381213665009,0.1978401094675064,0.20193588733673096,0.19756381213665009,0.1978401094675064,0.0
all,194.0,0.16047093272209167,0.1604289710521698,0.16047093272209167,0.1660543978214264,0.1604289710521698,0.15946261584758759,0.1592755764722824,0.1660543978214264,0.15946261584758759,0.1592755764722824,0.0
