CovarianceEstimator,trace,condition_number,average_variance
historical,0.33132196521627416,16814.991903594593,0.03313219652162742
ledoit_wolf,0.3312048903169045,1120.4515184029524,0.033120489031690445
ewma,0.4156302300420842,102646.14116698166,0.04156302300420842
