Ticker,weight,marginal_risk,component_risk,percentage_risk
VOO,0.2,0.1519354578557544,0.03038709157115088,0.2102391676645927
GLD,0.2,0.1407807312609222,0.02815614625218444,0.19480392649100117
IVV,0.16548857675564224,0.15283661162503034,0.02529271333398112,0.17499269342261503
VTV,0.2,0.12397750612690245,0.02479550122538049,0.17155263205247076
IEFA,0.15131600508772697,0.1530900848027042,0.02316498005088654,0.16027154535213806
VEA,0.07828626395196096,0.15313694914348985,0.01198851962144527,0.08294496960466531
SPY,0.00490915420466966,0.15295365243189585,0.0007508730659556233,0.005195065412516943
QQQ,1.473993230685392e-18,0.17406196817269995,2.5656616280633585e-19,1.775104287062228e-18
VTI,1.0895010592811467e-18,0.15381816695633552,1.6758505583561183e-19,1.159470710429985e-18
VUG,0.0,0.16950378915071773,0.0,0.0
