Split,samples,demo_mean_training_reward,policy_mean_excess_return,policy_mean_training_reward,demo_mean_raw_return,demo_mean_excess_return,demo_mean_excess_vs_equal_weight,demo_mean_excess_vs_restricted_random,demo_mean_excess_vs_markowitz,policy_mean_raw_return,policy_mean_excess_vs_equal_weight,policy_mean_excess_vs_restricted_random,policy_mean_excess_vs_markowitz,mean_abs_weight_error
train,1132.0,0.0026612139772623777,-5.027304359828122e-05,-0.002229121048003435,0.005206014029681683,0.004840062465518713,0.004501071292907,0.004518759436905384,0.004039735533297062,0.00031567882979288697,-0.0003892642562277615,-0.0003715759376063943,-0.0008505999576300383,0.09402456879615784
validation,284.0,0.0031327924225479364,-0.00026588875334709883,-0.0008162597077898681,0.006170307751744986,0.0036831635516136885,0.004213505424559116,0.004003578331321478,0.005846980027854443,0.0022212553303688765,0.00026445320690982044,5.452586628962308e-05,0.0018979277228936553,0.0892133116722107
all,1416.0,0.002755796303972602,-9.351800690637901e-05,-0.001945750555023551,0.005399417597800493,0.004608028568327427,0.004443395417183638,0.004415431991219521,0.004402204882353544,0.0006978707388043404,-0.0002581514127086848,-0.00028611483867280185,-0.0002993415982928127,0.09305960685014725
