Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_excess_return,train_policy_excess_return,validation_demo_excess_return,validation_policy_excess_return,validation_t_statistic,validation_p_value,selected_checkpoint
1,0.8854240529677447,-0.29641448604125603,1.181838545144773,0.004831298701830355,-13.48400244993322,0.007712909020483494,1.2130130016885232e-05,0.006260605528950691,6.114519783295691e-05,1.3642281915945373,0.08924300242920055,False
2,0.809667704152126,-0.7584508044608668,1.5681185079555886,0.0047996569717047265,-13.310091355267692,0.007712909020483494,1.4168958841764834e-05,0.006260605528950691,3.283069600001909e-05,0.8830035510636163,0.19068886355580944,False
3,0.8557007195902806,-0.47743337177762796,1.3331340972115011,0.004775510370439174,-13.144683314304725,0.007712909020483494,1.709309253783431e-05,0.006260605528950691,4.398020246298984e-05,0.9203288622608694,0.18086691118209547,False
4,0.4998062369870205,-0.40160633448292227,0.9014125758526372,0.0047497070467501295,-13.061110309526033,0.007712909020483494,6.450157525250688e-05,0.006260605528950691,2.424762715236284e-05,0.44775791959569056,0.3281120764572838,False
5,0.404080669669544,-0.5391785853049335,0.9432592549744774,0.004723055726465057,-12.991379064672133,0.007712909020483494,8.86931738932617e-05,0.006260605528950691,6.458163261413574e-05,1.3882793780060843,0.08554327767524698,False
6,0.21447517708236097,-0.49912234731748994,0.7135975243998509,0.004689580651328844,-13.01723929012523,0.007712909020483494,6.781518459320068e-05,0.006260605528950691,8.980929851531982e-05,1.1904615557278981,0.11968842989462491,False
7,0.05491691594030343,-0.4137240858638988,0.4686410018042022,0.0046712610341024165,-13.066389925339642,0.007712909020483494,9.897468407871202e-05,0.006260605528950691,-4.398134933580877e-06,-0.036982746321643216,0.5146784276347287,False
8,0.006180413797789929,-0.5312983884530909,0.5374788022508808,0.004630915994080258,-13.128299507440305,0.007712909020483494,0.0001519599900348112,0.006260605528950691,-4.2534789827186614e-05,-0.34778025857907674,0.6352817256931765,False
9,-0.02034572351212595,-0.45133884981566785,0.4309931263035419,0.004628771477762391,-13.107888745326623,0.007712909020483494,0.0001989325537579134,0.006260605528950691,3.89493425245746e-06,0.03149242917737948,0.48749987718971316,False
10,-0.042271652642418354,-0.511430437073988,0.4691587844315697,0.0045805199747430345,-13.136004223543054,0.007712909020483494,0.0002139611024176702,0.006260605528950691,-7.146252755774185e-05,-0.4757421867438698,0.681855189327538,False
11,-0.024496030573751413,-0.5446574439605077,0.5201614125102174,0.004566711894072154,-13.124621073404947,0.007712909020483494,0.00022358987189363688,0.006260605528950691,-4.639189864974469e-05,-0.344437113559924,0.6340330632067339,False
12,-0.046503796296961164,-0.3467462731927049,0.30024247601920484,0.004529240175935568,-13.133675500458361,0.007712909020483494,0.00012405683810357004,0.006260605528950691,-0.00011936976079596207,-0.4673387104919947,0.678875871738805,False
13,-0.052809603366197326,-0.629714103306041,0.5769044999398437,0.004523671460429243,-13.221712318121218,0.007712909020483494,0.0002573395613580942,0.006260605528950691,-1.999621235881932e-05,-0.11570842982301256,0.545830985391764,False
14,-0.04374349760074241,-0.4756162248405756,0.43187272723983317,0.004523763277878364,-13.155154078614478,0.007712909020483494,0.00026854698080569506,0.006260605528950691,-4.339103543316014e-05,-0.30668871562937616,0.6198354971180414,False
