Split,samples,demo_mean_excess_return,policy_mean_excess_return,demo_mean_raw_return,policy_mean_raw_return,mean_abs_weight_error
train,204.0,0.0054228780791163445,0.0030118648428469896,0.008313060738146305,0.005891908425837755,0.17762026190757751
validation,52.0,0.004568594507873058,0.006145870313048363,0.002212174702435732,0.0037771565839648247,0.1756242960691452
all,256.0,0.005249351728707552,0.0035629887133836746,0.007073818705976009,0.005376878194510937,0.17020165920257568
