Objective,tickers,annualized_return,benchmark_return,excess_return_vs_spy,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover,summary_report
mean_variance,"VOO,IVV,SPY,VTI,QQQ,VEA,VUG,GLD,IEFA,VTV",0.1397675058677843,0.13290430077136595,0.006863205096418357,0.16038607082504325,0.871444166870634,-0.25753253475148796,0.06796125358118406,outputs/ml_tuned_objective_runs/mean_variance/tables/summary_report.txt
equal_weight,"VOO,IVV,SPY,VTI,QQQ,VEA,VUG,GLD,IEFA,VTV",0.1299630875179949,0.13290430077136595,-0.0029412132533710444,0.16154544178595245,0.8044986356854058,-0.30605584752062964,0.0,outputs/ml_tuned_objective_runs/equal_weight/tables/summary_report.txt
risk_parity,"VOO,IVV,SPY,VTI,QQQ,VEA,VUG,GLD,IEFA,VTV",0.12846140172428266,0.13290430077136595,-0.004442899047083282,0.1411509885159993,0.9100991999763551,-0.2648379121340656,0.0009295976854769592,outputs/ml_tuned_objective_runs/risk_parity/tables/summary_report.txt
min_variance,"VOO,IVV,SPY,VTI,QQQ,VEA,VUG,GLD,IEFA,VTV",0.1202338187517773,0.13290430077136595,-0.012670482019588647,0.13264551961764115,0.906429550718024,-0.27056702332025195,0.006136402000690492,outputs/ml_tuned_objective_runs/min_variance/tables/summary_report.txt
