Split,benchmark_component,equal_weight_component,restricted_random_component,raw_return_component,significance_component,significance_bonus,weight_error_penalty,composite_score
train,29.999999999998426,19.99999999999918,14.99999999999965,9.999999999999876,14.902467975291255,10.0,0.0,99.90246797528839
validation,29.999999999999943,19.999999999999982,14.999999999999979,9.999999999999922,12.975214480055152,10.0,0.0,97.97521448005499
all,29.99999999999925,19.999999999999652,14.999999999999812,9.999999999999888,14.950723956593286,10.0,0.0,99.9507239565919
