Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_training_reward,train_demo_excess_return,train_policy_excess_return,train_policy_training_reward,validation_demo_training_reward,validation_demo_excess_return,validation_policy_excess_return,validation_policy_training_reward,validation_t_statistic,validation_p_value,selected_checkpoint
1,0.9942608236125782,-0.3105038450095072,1.304764670618413,0.05491747970928986,-13.339895485690906,0.01484735868871212,0.014007612131536007,-0.0005363061209209263,0.0003034417168237269,0.020131001248955727,0.020421506837010384,0.0016025170916691422,0.0013120109215378761,2.9021296585111833,0.0020527576395579596,False
2,0.7583390114980452,-0.3481073951321926,1.1064463996430904,0.05487360584251048,-13.029388861222701,0.01484735868871212,0.014007612131536007,-0.0005482390988618135,0.0002915087388828397,0.020131001248955727,0.020421506837010384,0.0015866445610299706,0.0012961383908987045,2.8846673255240054,0.0021653963691586602,False
3,0.6640209324622268,-0.3201337980026263,0.9841547314630171,0.054873229320825,-12.958731299952456,0.01484735868871212,0.014007612131536007,-0.0005088733742013574,0.00033087446354329586,0.020131001248955727,0.020421506837010384,0.0015920833684504032,0.001301577198319137,2.890967234315742,0.002124124435605659,False
4,0.5950485147785342,-0.36123712517713247,0.9562856456594604,0.05479950653879266,-13.115597811612217,0.01484735868871212,0.014007612131536007,-0.0004668664187192917,0.000372881448129192,0.020131001248955727,0.020421506837010384,0.001572075649164617,0.001281569479033351,2.875245662497906,0.0022284872302796212,False
5,0.5792292185377276,-0.4117698973160611,0.9909991215575825,0.05466816864872093,-13.289352918926038,0.01484735868871212,0.014007612131536007,-0.000384431128622964,0.00045531673822551966,0.020131001248955727,0.020421506837010384,0.001555454800836742,0.0012649486307054758,2.826803372810913,0.0025801620630740325,False
6,0.5270753377362302,-0.4072412500541176,0.9343165889311065,0.05464382874266953,-13.070186332082065,0.01484735868871212,0.014007612131536007,-0.00040377789991907775,0.00043596996692940593,0.020131001248955727,0.020421506837010384,0.0015386008890345693,0.0012480947189033031,2.7927780032077707,0.002856608873614531,False
7,0.50469777886377,-0.4330019294930417,0.9376997015122591,0.0543725745814839,-12.930606431367865,0.01484735868871212,0.014007612131536007,-0.00018635021115187556,0.0006533976411446929,0.020131001248955727,0.020421506837010384,0.0018851443892344832,0.0015946381026878953,3.062842281973473,0.0012411050632220124,False
8,0.6217034460540023,-0.4186714803488061,1.0403749255472392,0.05434990235778133,-12.930450631100594,0.01484735868871212,0.014007612131536007,-0.0002443527337163687,0.0005953951040282845,0.020131001248955727,0.020421506837010384,0.0016869914252310991,0.001396485255099833,2.7654277828588683,0.0030980367082504797,False
9,0.47463202020197964,-0.45802185894769915,0.9326538765829716,0.05452083584152911,-12.923281957087905,0.01484735868871212,0.014007612131536007,-0.00043056122376583517,0.00040918667218647897,0.020131001248955727,0.020421506837010384,0.0015572968404740095,0.0012667906703427434,2.8074269308703426,0.0027344486292832145,False
10,0.4317682935860739,-0.4887009630933333,0.9204692566794072,0.05463781974247198,-12.83699860184957,0.01484735868871212,0.014007612131536007,-0.00030314765172079206,0.0005366002442315221,0.020131001248955727,0.020421506837010384,0.0016974830068647861,0.0014069767203181982,3.058157272970457,0.0012598144228821693,False
