Date,weight,marginal_risk,component_risk,percentage_risk
SPY,0.48232610537942733,0.16303185405572385,0.07863451921948447,0.48232610535890685
GLD,0.3350108306603701,0.16303185339061776,0.05461743662849053,0.33501082927940423
QQQ,0.18266306396020268,0.16303185531352532,0.029779898214684984,0.1826630653616889
