Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_training_reward,train_demo_excess_return,train_policy_excess_return,train_policy_training_reward,validation_demo_training_reward,validation_demo_excess_return,validation_policy_excess_return,validation_policy_training_reward,validation_policy_excess_vs_markowitz,validation_t_statistic,validation_p_value,selected_checkpoint
1,1.107556700706482,0.050119735300540924,1.0574369430541992,0.004682951141148806,-13.466967582702637,0.007100727874785662,0.005472738295793533,-0.0014321537455543876,0.00019583606626838446,0.0043989429250359535,0.005223703570663929,0.003025102661922574,0.002200342481955886,0.0022069811820983887,0.7641904786613432,0.23215836971766424,False
2,0.7025110721588135,-0.8679200410842896,1.570431113243103,0.004582073073834181,-13.524256706237793,0.007100727874785662,0.005472738295793533,-0.001454042736440897,0.00017394703172612935,0.0043989429250359535,0.005223703570663929,0.0030294060707092285,0.0022046458907425404,0.002211284590885043,0.7645217080817067,0.23206452198312152,False
3,0.7737657427787781,0.08287592232227325,0.690889835357666,0.004541819915175438,-13.539008140563965,0.007100727874785662,0.005472738295793533,-0.0014335716841742396,0.00019441809854470193,0.0043989429250359535,0.005223703570663929,0.0030200898181647062,0.0021953298710286617,0.002201968338340521,0.7615778308978725,0.23289948385820783,False
4,0.346588134765625,-0.2643740773200989,0.6109622120857239,0.0044847349636256695,-13.537303924560547,0.007100727874785662,0.005472738295793533,-0.0014138127444311976,0.00021417703828774393,0.0043989429250359535,0.005223703570663929,0.00303572416305542,0.0022109639830887318,0.0022176026832312346,0.7661915042412016,0.23159179368482147,False
5,0.20770102739334106,-0.7176226377487183,0.9253236651420593,0.004458873067051172,-13.513339042663574,0.007100727874785662,0.005472738295793533,-0.0014014040352776647,0.00022658577654510736,0.0043989429250359535,0.005223703570663929,0.0030589341185986996,0.002234174171462655,0.002240812871605158,0.7751592658757973,0.22906376558788227,False
6,0.027455508708953857,-0.45264703035354614,0.4801025390625,0.004433310125023127,-13.451383590698242,0.007100727874785662,0.005472738295793533,-0.0013850488467141986,0.00024294097966048867,0.0043989429250359535,0.005223703570663929,0.003050047205761075,0.002225287025794387,0.0022319257259368896,0.7746126311488439,0.22921734146736816,False
7,-0.059956908226013184,-0.24942712485790253,0.18947021663188934,0.004401978105306625,-13.414790153503418,0.007100727874785662,0.005472738295793533,-0.00133336684666574,0.0002946229069493711,0.0043989429250359535,0.005223703570663929,0.0030715346802026033,0.002246774500235915,0.002253413200378418,0.7806161926455861,0.2275343702096059,False
8,-0.16831520199775696,-0.46334242820739746,0.2950272262096405,0.004383132793009281,-13.403919219970703,0.007100727874785662,0.005472738295793533,-0.001299663563258946,0.00032832621945999563,0.0043989429250359535,0.005223703570663929,0.0031135857570916414,0.0022888255771249533,0.002295464277267456,0.7895585940632114,0.22504274284399026,False
9,-0.11538863182067871,-0.6984867453575134,0.5830981135368347,0.0043321517296135426,-13.426304817199707,0.007100727874785662,0.005472738295793533,-0.0012770702596753836,0.00035091949393972754,0.0043989429250359535,0.005223703570663929,0.003135895822197199,0.0023111356422305107,0.0023177743423730135,0.7943572660815946,0.2237131920237523,False
10,-0.1827961504459381,-0.529853105545044,0.34705695509910583,0.004331235308200121,-13.426148414611816,0.007100727874785662,0.005472738295793533,-0.0012641297653317451,0.00036385998828336596,0.0043989429250359535,0.005223703570663929,0.0031309009063988924,0.0023061407264322042,0.002312779426574707,0.7945056555918298,0.22367216195234638,False
11,-0.1165795624256134,-0.29548829793930054,0.17890873551368713,0.004339178092777729,-13.37631607055664,0.007100727874785662,0.005472738295793533,-0.0012485886691138148,0.00037940111360512674,0.0043989429250359535,0.005223703570663929,0.003123462200164795,0.0022987020201981068,0.0023053407203406096,0.7939552167331313,0.2238243849119196,False
12,-0.14654859900474548,-0.4351568818092346,0.28860828280448914,0.004326961934566498,-13.319563865661621,0.007100727874785662,0.005472738295793533,-0.0012385515728965402,0.0003894382098224014,0.0043989429250359535,0.005223703570663929,0.0031335712410509586,0.0023088110610842705,0.0023154497612267733,0.7962823923991688,0.2231812798971172,False
13,-0.1476757526397705,-0.6027822494506836,0.4551064968109131,0.004292173311114311,-13.314709663391113,0.007100727874785662,0.005472738295793533,-0.0012308453442528844,0.00039714446756988764,0.0043989429250359535,0.005223703570663929,0.0031285942532122135,0.0023038340732455254,0.002310472773388028,0.7951535829018082,0.2234930672697973,False
14,-0.1797083020210266,-0.5110664963722229,0.3313581943511963,0.004297577776014805,-13.306695938110352,0.007100727874785662,0.005472738295793533,-0.001218282850459218,0.00040970693225972354,0.0043989429250359535,0.005223703570663929,0.003121244953945279,0.002296484773978591,0.0023031234741210938,0.7934180219658646,0.22397301186031093,False
15,-0.20186927914619446,-0.3970337510108948,0.19516447186470032,0.004291446413844824,-13.288823127746582,0.007100727874785662,0.005472738295793533,-0.001198235317133367,0.00042975449468940496,0.0043989429250359535,0.005223703570663929,0.0031269013416022062,0.0023021413944661617,0.002308779861778021,0.7942888553177774,0.22373210946269367,False
16,-0.2078988254070282,-0.5195051431655884,0.3116063177585602,0.0042467801831662655,-13.27193832397461,0.007100727874785662,0.005472738295793533,-0.0011728217359632254,0.00045516801765188575,0.0043989429250359535,0.005223703570663929,0.003139328910037875,0.0023145689629018307,0.00232120743021369,0.7968586342126746,0.22302222880100891,False
17,-0.2138574719429016,-0.5210024118423462,0.3071449398994446,0.0042363740503787994,-13.257611274719238,0.007100727874785662,0.005472738295793533,-0.0011446397984400392,0.0004833500424865633,0.0043989429250359535,0.005223703570663929,0.003149658441543579,0.002324898261576891,0.0023315369617193937,0.7991192969218814,0.22239898504890004,False
18,-0.2193640172481537,-0.4712677597999573,0.2519037425518036,0.004215637221932411,-13.263197898864746,0.007100727874785662,0.005472738295793533,-0.001123459660448134,0.0005045300931669772,0.0043989429250359535,0.005223703570663929,0.003153514815494418,0.0023287548683583736,0.0023353933356702328,0.7996806624618823,0.22224440262707434,False
19,-0.22123345732688904,-0.5466167330741882,0.3253832757472992,0.004195455927401781,-13.274598121643066,0.007100727874785662,0.005472738295793533,-0.0011047532316297293,0.0005232365219853818,0.0043989429250359535,0.005223703570663929,0.003159248735755682,0.0023344887886196375,0.0023411274887621403,0.8013087019677835,0.2217964988050587,False
