Split,samples,demo_mean_training_reward,policy_mean_excess_return,policy_mean_training_reward,demo_mean_raw_return,demo_mean_excess_return,demo_mean_excess_vs_equal_weight,demo_mean_excess_vs_restricted_random,policy_mean_raw_return,policy_mean_excess_vs_equal_weight,policy_mean_excess_vs_restricted_random,mean_abs_weight_error
train,340.0,0.01729086972773075,0.01688932441174984,0.01729086972773075,0.019672051072120667,0.01688932441174984,0.017162732779979706,0.017095576971769333,0.019672051072120667,0.017162732779979706,0.017095576971769333,0.0
validation,85.0,0.020450619980692863,0.020627804100513458,0.020450619980692863,0.02298823371529579,0.020627804100513458,0.019851187244057655,0.01972658932209015,0.02298823371529579,0.019851187244057655,0.01972658932209015,0.0
all,425.0,0.017922820523381233,0.017637021839618683,0.017922820523381233,0.020335284993052483,0.017637021839618683,0.017700422555208206,0.017621779814362526,0.020335284993052483,0.017700422555208206,0.017621779814362526,0.0
