Split,samples,demo_mean_training_reward,policy_mean_excess_return,policy_mean_training_reward,demo_mean_raw_return,demo_mean_excess_return,demo_mean_excess_vs_equal_weight,demo_mean_excess_vs_restricted_random,policy_mean_raw_return,policy_mean_excess_vs_equal_weight,policy_mean_excess_vs_restricted_random,mean_abs_weight_error
train,60.0,0.08796384930610657,0.087681844830513,0.08796384930610657,0.09071110934019089,0.087681844830513,0.08770406246185303,0.08754386752843857,0.09071110934019089,0.08770406246185303,0.08754386752843857,0.0
validation,15.0,0.12504413723945618,0.12689103186130524,0.12504413723945618,0.12370512634515762,0.12689103186130524,0.12453783303499222,0.12277929484844208,0.12370512634515762,0.12453783303499222,0.12277929484844208,0.0
all,75.0,0.09537990391254425,0.09552368521690369,0.09537990391254425,0.09730991721153259,0.09552368521690369,0.09507081657648087,0.09459097683429718,0.09730991721153259,0.09507081657648087,0.09459097683429718,0.0
