Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_training_reward,train_demo_excess_return,train_policy_excess_return,train_policy_training_reward,validation_demo_training_reward,validation_demo_excess_return,validation_policy_excess_return,validation_policy_training_reward,validation_t_statistic,validation_p_value,selected_checkpoint
1,0.9499858162122334,-0.0484789805468209,0.9984648150360275,0.08979050004613137,-13.462636148144385,0.025152727961540222,0.024281321093440056,-0.0004501249932218343,0.0004212812928017229,0.031912364065647125,0.03214757516980171,0.0016468025278300047,0.0014115952653810382,2.3089040655591684,0.01129524421854078,False
2,0.48378250853506155,-0.06849276358837972,0.5522752780162408,0.08933822977209757,-13.490741373774059,0.025152727961540222,0.024281321093440056,-0.00035696104168891907,0.0005144451861269772,0.031912364065647125,0.03214757516980171,0.0016975033795461059,0.0014622961170971394,2.3697198268393644,0.00966594887657427,False
3,0.2353480170348923,-0.12018794231785986,0.3555359600665802,0.08880773033508045,-13.617052049693948,0.025152727961540222,0.024281321093440056,-0.00013832488912157714,0.0007330813095904887,0.031912364065647125,0.03214757516980171,0.001742487889714539,0.0015072806272655725,2.415647761420753,0.008576925753055959,False
4,0.1628626759894594,-0.14540237546740417,0.30826505162044915,0.08766125251135665,-14.438378975538912,0.025152727961540222,0.024281321093440056,0.00043323938734829426,0.0013046456733718514,0.031912364065647125,0.03214757516980171,0.0018403587164357305,0.0016051513375714421,2.424473046616776,0.008380606295589994,False
5,0.09819838077484253,-0.18720400898518438,0.2854023897600269,0.08523129082903891,-15.008009619341639,0.025152727961540222,0.024281321093440056,0.0018475865945219994,0.0027189927641302347,0.031912364065647125,0.03214757516980171,0.0024833367206156254,0.002248129341751337,2.90781255179148,0.002154016063153106,False
6,0.04206553306765185,-0.24892234273055966,0.29098787442771734,0.07932586468265442,-15.52959572531268,0.025152727961540222,0.024281321093440056,0.004141966346651316,0.005013372749090195,0.031912364065647125,0.03214757516980171,0.003269118955358863,0.003033911809325218,2.895928201909702,0.0022318683146646087,True
7,-0.01764742021789094,-0.33980479045304474,0.3221573702351538,0.0734383004481445,-16.593239995533835,0.025152727961540222,0.024281321093440056,0.006171032320708036,0.0070424387231469154,0.031912364065647125,0.03214757516980171,0.0024819758255034685,0.00224676844663918,1.7386568933673612,0.04227864709322342,False
8,-0.09812356718999897,-0.3895371046489822,0.29141353745898324,0.06959797871743371,-17.062426637508675,0.025152727961540222,0.024281321093440056,0.007417731452733278,0.008289137855172157,0.031912364065647125,0.03214757516980171,0.0026339490432292223,0.0023987418971955776,1.9442930004474408,0.027053252950111017,False
9,-0.1725539481806422,-0.4778526710298009,0.3052987228491587,0.06674005187854558,-18.365213131476306,0.025152727961540222,0.024281321093440056,0.008342757821083069,0.009214164689183235,0.031912364065647125,0.03214757516980171,0.0029042477253824472,0.0026690401136875153,2.0474226822319777,0.021355944736201414,False
10,-0.28366959451915263,-0.627479430325255,0.34380983580610236,0.06780480548828662,-19.646356529342437,0.025152727961540222,0.024281321093440056,0.007322610355913639,0.00819401629269123,0.031912364065647125,0.03214757516980171,0.002448340179398656,0.0022131328005343676,2.162712050417077,0.016233537560998917,False
