Split,benchmark_component,equal_weight_component,restricted_random_component,raw_return_component,significance_component,significance_bonus,weight_error_penalty,composite_score
train,-3.91322908369485,0.0,0.0,4.687379933480743,-0.8095492597519768,0.0,10.729119479656218,-10.7645178896223
validation,16.585083509198853,0.0,0.0,-2.01964539180284,2.4929721559092757,0.0,10.353082716464995,6.7053275568402935
all,9.618810514240902,0.0,0.0,5.876224268484124,7.533391182926331,3.333333333333333,2.7338647842407218,23.627894514743968
