Split,benchmark_component,equal_weight_component,restricted_random_component,raw_return_component,significance_component,significance_bonus,weight_error_penalty,composite_score
train,-10.585697743598107,0.0,0.0,1.1979174961848846,-2.274401934073703,0.0,10.6790480017662,-22.341230183253124
validation,-0.8489056826190141,0.0,0.0,4.1710901125173026,-0.09738127650724493,0.0,10.46168714761734,-7.236883994226297
all,3.0055676532072786,0.0,0.0,5.271768391138205,1.1003546385115555,0.0,6.628236472606655,2.7494542102503843
