Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_training_reward,train_demo_excess_return,train_policy_excess_return,train_policy_training_reward,validation_demo_training_reward,validation_demo_excess_return,validation_policy_excess_return,validation_policy_training_reward,validation_policy_excess_vs_markowitz,validation_t_statistic,validation_p_value,selected_checkpoint
1,1.5258806546529133,0.23755253023571438,1.2883280913035076,0.06506413635280398,-13.490090899997288,0.03199262171983719,0.03306826949119568,0.00368193699978292,0.00260628922842443,0.018042566254734993,0.016430586576461792,-0.0015474723186343908,6.450743967434391e-05,0.009047259576618671,-0.7662684612818644,0.7729869567229342,False
2,0.9188638693756528,0.15566768911149767,0.763196220000585,0.06444743275642395,-13.424467510647244,0.03199262171983719,0.03306826949119568,0.003809963585808873,0.002734315814450383,0.018042566254734993,0.016430586576461792,-0.001520007848739624,9.197193139698356e-05,0.009074724279344082,-0.7519214079493237,0.7688086695683337,False
3,0.8233052823278639,-0.5552059610684713,1.3785112433963351,0.06415274656481212,-13.41613154941135,0.03199262171983719,0.03306826949119568,0.003921132069081068,0.002845484297722578,0.018042566254734993,0.016430586576461792,-0.001498788595199585,0.00011319118493702263,0.009095943532884121,-0.7385924042301072,0.764885243184113,False
4,0.6026583380169339,-0.24415942033131918,0.8468177318572998,0.06388635022772683,-13.450478447808159,0.03199262171983719,0.03306826949119568,0.004003106616437435,0.002927458845078945,0.018042566254734993,0.016430586576461792,-0.0014960798434913158,0.00011589988571358845,0.009098652750253677,-0.7329773378913552,0.763220495812417,False
5,0.4147979948255751,-0.2565375947289997,0.6713355878988901,0.06368837215834194,-13.506775432162815,0.03199262171983719,0.03306826949119568,0.004064391832798719,0.0029887440614402294,0.018042566254734993,0.016430586576461792,-0.0014812118606641889,0.00013076793402433395,0.009113520383834839,-0.7233972771492102,0.7603639549631508,False
6,0.42107974820666844,-0.18724578619003296,0.6083255343967013,0.0635540530913406,-13.60619831085205,0.03199262171983719,0.03306826949119568,0.004150535445660353,0.0030748876743018627,0.018042566254734993,0.016430586576461792,-0.0014302267227321863,0.00018175311561208218,0.009164505638182163,-0.6983444115258639,0.752797621931579,False
7,0.41921619905365837,-0.35801305373509723,0.7772292527887557,0.06327525691853629,-13.689727147420248,0.03199262171983719,0.03306826949119568,0.004230062942951918,0.0031544151715934277,0.018042566254734993,0.016430586576461792,-0.0014667543582618237,0.00014522537821903825,0.00912797823548317,-0.7151919631213767,0.7579011012478151,False
8,0.3869027958975898,-0.2354411698049969,0.6223439657025867,0.06306953231493632,-13.885332425435385,0.03199262171983719,0.03306826949119568,0.004306637682020664,0.0032309896778315306,0.018042566254734993,0.016430586576461792,-0.0014873809413984418,0.00012459885329008102,0.009107351303100586,-0.7248242757411807,0.7607907473227113,False
9,0.3927065117491616,-0.421491790148947,0.8141983018981086,0.062791398829884,-14.00813823276096,0.03199262171983719,0.03306826949119568,0.004466238897293806,0.0033905908931046724,0.018042566254734993,0.016430586576461792,-0.0014577209949493408,0.00015425878518726677,0.009137011133134365,-0.7095056201772848,0.756185579848619,False
10,0.3757414155536228,-0.3636966049671173,0.739438017209371,0.0624198317527771,-14.15351316663954,0.03199262171983719,0.03306826949119568,0.004709108732640743,0.0036334609612822533,0.018042566254734993,0.016430586576461792,-0.00139254005625844,0.00021943978208582848,0.009202192537486553,-0.6770838296356799,0.7462686867310673,False
11,0.3905995819303725,-0.14341284500228035,0.534012410375807,0.06178749849398931,-14.31920051574707,0.03199262171983719,0.03306826949119568,0.004954255186021328,0.003878607414662838,0.018042566254734993,0.016430586576461792,-0.0013670126209035516,0.0002449671446811408,0.009227719157934189,-0.6634279201893115,0.7420234982235592,False
12,0.4129131038983663,-0.07736182047261132,0.49027492933803135,0.06112367783983549,-14.477844874064127,0.03199262171983719,0.03306826949119568,0.00539398193359375,0.004318333696573973,0.018042566254734993,0.016430586576461792,-0.0013293226948007941,0.0002826571580953896,0.009265409782528877,-0.6473599860937698,0.7369774507422087,False
13,0.37699169913927716,-0.28453988167974686,0.661531580819024,0.05997417867183685,-14.485237015618218,0.03199262171983719,0.03306826949119568,0.0059451330453157425,0.004869484808295965,0.018042566254734993,0.016430586576461792,-0.0011651880340650678,0.00044679176062345505,0.00942954421043396,-0.5680132557695613,0.7112739967327708,False
14,0.35785530010859173,-0.4308927655220032,0.7887480656305949,0.058919219507111445,-14.55380916595459,0.03199262171983719,0.03306826949119568,0.0068106865510344505,0.0057350387796759605,0.018042566254734993,0.016430586576461792,-0.0009941525058820844,0.0006178272888064384,0.009600579738616943,-0.47820096995626304,0.6807005662297712,False
15,0.36152823434935677,-0.44701699912548065,0.8085452334748374,0.05695751143826379,-14.906892776489258,0.03199262171983719,0.03306826949119568,0.008076031692326069,0.007000384386628866,0.018042566254734993,0.016430586576461792,-0.000819431385025382,0.0007925483514554799,0.00977530051022768,-0.38823183935038774,0.6486683893288514,False
16,0.34653445581595105,-0.4052068226867252,0.7517412785026762,0.054711584415700704,-15.492801878187391,0.03199262171983719,0.03306826949119568,0.009498217143118382,0.008422569371759892,0.018042566254734993,0.016430586576461792,-0.0006674461765214801,0.0009445336181670427,0.009927285835146904,-0.3110722602774854,0.6202361466215315,False
17,0.32928835186693406,-0.34675854278935325,0.6760468946562873,0.052569887704319425,-15.980774349636501,0.03199262171983719,0.03306826949119568,0.011263679713010788,0.010188031941652298,0.018042566254734993,0.016430586576461792,-0.00047594308853149414,0.0011360367061570287,0.010118789039552212,-0.2200195207493782,0.585761824516049,False
18,0.30919620725843644,-0.3434957133399116,0.6526919181148211,0.04964811603228251,-16.102498902214897,0.03199262171983719,0.03306826949119568,0.013419704511761665,0.012344056740403175,0.018042566254734993,0.016430586576461792,-0.0006159312324598432,0.0009960485622286797,0.009978801012039185,-0.2907591345550455,0.6126235528205795,False
19,0.30426114797592163,-0.3917672576175796,0.6960284047656589,0.04674401506781578,-15.861055903964573,0.03199262171983719,0.03306826949119568,0.015722474083304405,0.014646824449300766,0.018042566254734993,0.016430586576461792,-0.001106947660446167,0.0005050321342423558,0.009487784467637539,-0.5352669266221805,0.7003009046209401,False
20,0.2800777753194173,-0.37922799918386674,0.6593057711919149,0.04323208125101195,-15.84752082824707,0.03199262171983719,0.03306826949119568,0.018399672582745552,0.017324022948741913,0.018042566254734993,0.016430586576461792,-0.0009010069770738482,0.0007109728176146746,0.009693725034594536,-0.43055852551553625,0.6639007417770733,False
