Split,samples,demo_mean_training_reward,policy_mean_excess_return,policy_mean_training_reward,demo_mean_raw_return,demo_mean_excess_return,demo_mean_excess_vs_equal_weight,demo_mean_excess_vs_restricted_random,demo_mean_excess_vs_markowitz,policy_mean_raw_return,policy_mean_excess_vs_equal_weight,policy_mean_excess_vs_restricted_random,policy_mean_excess_vs_markowitz,mean_abs_weight_error
train,991.0,0.005208829417824745,0.00043270090827718377,0.00029289632220752537,0.0060531217604875565,0.00534863444045186,0.004928647540509701,0.004927347414195538,0.004304844420403242,0.0011371885193511844,1.2714313925243914e-05,1.1414139407861512e-05,-0.0006110886461101472,0.09821415692567825
validation,248.0,0.005042322911322117,-0.0005030295578762889,-0.0001435142185073346,0.005678484681993723,0.0046828072518110275,0.005187373608350754,0.005225697066634893,0.007522468455135822,0.0004926470573991537,1.536501940790913e-06,3.985964576713741e-05,0.0023366317618638277,0.0965740904211998
all,1239.0,0.005175501573830843,0.0002454037603456527,0.00020554377988446504,0.005978133995085955,0.005215361714363098,0.004980434663593769,0.004987065680325031,0.004948889371007681,0.0010081761283800006,1.0476947863935493e-05,1.710783180897124e-05,-2.1068726709927432e-05,0.09788588434457779
