Split,benchmark_component,equal_weight_component,restricted_random_component,raw_return_component,significance_component,significance_bonus,weight_error_penalty,composite_score
train,29.993883550461653,19.995841365636092,14.996892391820209,9.998190376575625,14.999999999999961,10.0,0.0,99.98480768449353
validation,29.99888441120358,19.999249428366227,14.999433237420213,9.999662538327883,14.999972445820985,10.0,0.0,99.99720206113888
all,29.995648598106936,19.9970476528648,14.99778919702843,9.998706863693384,14.999999999999991,10.0,0.0,99.98919231169353
