Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_training_reward,train_demo_excess_return,train_policy_excess_return,train_policy_training_reward,validation_demo_training_reward,validation_demo_excess_return,validation_policy_excess_return,validation_policy_training_reward,validation_policy_excess_vs_markowitz,validation_t_statistic,validation_p_value,selected_checkpoint
1,1.2246849536895752,0.1561814844608307,1.068503499031067,0.004655525553971529,-13.445323944091797,0.007100727874785662,0.005472738295793533,-0.0013092145090922713,0.00031877533183433115,0.0043989429250359535,0.005223703570663929,0.003186178160831332,0.0023614182136952877,0.002368056681007147,0.8012528238049434,0.2218118618879552,True
2,1.0276706218719482,-1.1365766525268555,2.1642472743988037,0.004563807509839535,-13.450678825378418,0.007100727874785662,0.005472738295793533,-0.0013362200697883964,0.00029176974203437567,0.0043989429250359535,0.005223703570663929,0.003125107381492853,0.002300347201526165,0.002306985901668668,0.7865211890076964,0.2258870168019698,False
3,0.9602754712104797,0.20190252363681793,0.758372962474823,0.0045614889822900295,-13.437070846557617,0.007100727874785662,0.005472738295793533,-0.0013255273224785924,0.00030246248934417963,0.0043989429250359535,0.005223703570663929,0.003136157989501953,0.002311397809535265,0.0023180365096777678,0.7885253833215676,0.22532969729320557,False
4,0.5336346626281738,-0.29904425144195557,0.8326789140701294,0.004495305009186268,-13.435011863708496,0.007100727874785662,0.005472738295793533,-0.0012780898250639439,0.0003498999576549977,0.0043989429250359535,0.005223703570663929,0.0031402527820318937,0.0023154928348958492,0.0023221313022077084,0.7882064963272162,0.22541831112653568,False
5,0.3564305901527405,-0.6260005235671997,0.9824311137199402,0.0044091613963246346,-13.416886329650879,0.007100727874785662,0.005472738295793533,-0.001243047066964209,0.0003849427739623934,0.0043989429250359535,0.005223703570663929,0.003148108720779419,0.002323348540812731,0.0023299872409552336,0.7890673618049253,0.22517914285764723,False
6,0.2817429304122925,-0.18286366760730743,0.4646065831184387,0.004351704381406307,-13.439697265625,0.007100727874785662,0.005472738295793533,-0.001195040182210505,0.00043294960050843656,0.0043989429250359535,0.005223703570663929,0.003129553748294711,0.0023047938011586666,0.0023114322684705257,0.7873342163947878,0.22566082269738877,False
7,0.13653415441513062,-0.5638574957847595,0.7003916501998901,0.00429596658796072,-13.410050392150879,0.007100727874785662,0.005472738295793533,-0.001201809966005385,0.0004261797876097262,0.0043989429250359535,0.005223703570663929,0.003107357071712613,0.002282596891745925,0.0022892355918884277,0.7801350707926964,0.22766894093566298,False
8,0.008050292730331421,-0.481324166059494,0.48937445878982544,0.004260162357240915,-13.391039848327637,0.007100727874785662,0.005472738295793533,-0.0011956064263358712,0.00043238335638307035,0.0043989429250359535,0.005223703570663929,0.0030877231620252132,0.0022629632148891687,0.0022696019150316715,0.7763951120587038,0.22871680700128694,False
9,0.012688681483268738,-0.2488747388124466,0.26156342029571533,0.004224356729537249,-13.373940467834473,0.007100727874785662,0.005472738295793533,-0.0011641853488981724,0.0004638044338207692,0.0043989429250359535,0.005223703570663929,0.003067231271415949,0.0022424710914492607,0.0022491097915917635,0.7715191939746936,0.2300877123988652,False
10,-0.05984261631965637,-0.4057515859603882,0.3459089696407318,0.004189541097730398,-13.374430656433105,0.007100727874785662,0.005472738295793533,-0.0011181344743818045,0.0005098552792333066,0.0043989429250359535,0.005223703570663929,0.0030612051486968994,0.0022364449687302113,0.002243083668872714,0.7706370883657271,0.23033629931693556,False
