Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_excess_return,train_policy_excess_return,validation_demo_excess_return,validation_policy_excess_return,validation_t_statistic,validation_p_value,selected_checkpoint
1,0.9833183931369408,-0.2913696847709955,1.274688086088966,0.004545621313702534,-13.50418145048852,0.006189584732055664,-2.1228603145573288e-05,0.007492576725780964,-3.190796996932477e-05,-0.6375723042116361,0.7366978435971054,False
2,0.6592585806753121,-0.45091020593456194,1.1101687772601259,0.004482916314337475,-13.38831793093214,0.006189584732055664,-3.6356788768898696e-05,0.007492576725780964,-4.3235144403297454e-05,-0.7305088481261546,0.7657890564284927,False
3,0.5689977793132558,-0.49602530042038245,1.0650230763005275,0.004445940840478037,-13.275400255240646,0.006189584732055664,2.5536498924338957e-06,0.007492576725780964,-3.4940931072924286e-05,-0.45618404924875955,0.6749028077277953,False
4,0.4127573183938569,-0.4638407674490237,0.8765980811680064,0.0044141865755413096,-13.236263256446987,0.006189584732055664,-1.226394761033589e-05,0.007492576725780964,-2.402525751676876e-05,-0.2750338025437107,0.6077992742865267,False
5,0.2081579986740561,-0.5057714768484527,0.7139294755225088,0.004398007009762759,-13.175611140681248,0.006189584732055664,-4.228715624776669e-06,0.007492576725780964,1.1251522664679214e-05,0.09357217209445762,0.4629078295263378,False
6,0.021685421466827393,-0.42183217932196226,0.44351760078878966,0.0043657734332715765,-13.180877236758962,0.006189584732055664,1.913279811560642e-05,0.007492576725780964,4.082918167114258e-06,0.030939434588128804,0.4877193023586487,False
7,-0.03699696005559435,-0.5374217372314603,0.500424777175866,0.004353481043568429,-13.124223316417021,0.006189584732055664,5.611134474747814e-05,0.007492576725780964,6.623910303460434e-05,0.4441583691801844,0.32940354036970526,False
8,0.01217190190857532,-0.5298207624285829,0.5419926643371582,0.004336131197929967,-13.11436404433905,0.006189584732055664,7.348843791987747e-05,0.007492576725780964,5.634931585518643e-05,0.3487060678315237,0.3643727455756366,False
9,-0.06099518841388179,-0.5520067565581378,0.491011568144256,0.004330519541148462,-13.143702170428108,0.006189584732055664,4.2359326471341774e-05,0.007492576725780964,7.547093991888687e-05,0.4797427849590384,0.31673069236831447,False
10,0.030355770798290476,-0.38184008995691937,0.4121958607552098,0.004279254917420593,-13.373340363596,0.006189584732055664,5.3889027185505256e-05,0.007492576725780964,6.861411384306848e-05,0.3662688248856189,0.3578397927289154,False
11,-0.09446032023897358,-0.5311765027981178,0.43671618255914424,0.004294537368467918,-13.260144121506634,0.006189584732055664,9.864890307653695e-05,0.007492576725780964,9.363431308884174e-05,0.5503219994858636,0.2922504951807298,False
12,-0.15123549629660213,-0.4487864456924738,0.2975509493958716,0.004304518512285808,-13.150732358296713,0.006189584732055664,8.890325261745602e-05,0.007492576725780964,0.00010808958177221939,0.6083674504664259,0.2728219377377246,False
13,-0.13224804868885115,-0.49154189930242653,0.3592938506135754,0.004293010821200761,-13.1422306135589,0.006189584732055664,0.00010014222789322957,0.007492576725780964,7.196114893304184e-05,0.3429848872661221,0.36650979903438047,False
14,-0.16072928759397245,-0.5521233046756071,0.3913940170816347,0.004260715115450176,-13.281027532091327,0.006189584732055664,0.00011681458272505552,0.007492576725780964,9.042139572557062e-05,0.4953432704238441,0.31124273466833946,False
15,-0.1262417780418022,-0.46676303709254546,0.34052125905074326,0.004269876375830933,-13.099111444809857,0.006189584732055664,0.00016768714704085141,0.007492576725780964,0.00011109961633337662,0.5747743344099997,0.28398545659179925,False
16,-0.16892626005060532,-0.42809538630878224,0.2591691262581769,0.0042643382067919944,-13.090714379852892,0.006189584732055664,0.00014673202531412244,0.007492576725780964,8.448500011581928e-05,0.363449568951214,0.3588856686231468,False
17,-0.16392591946265278,-0.5953708682574478,0.431444948794795,0.004213981083868181,-13.27753261491364,0.006189584732055664,0.0002196714631281793,0.007492576725780964,9.795908408705145e-05,0.35180399329141965,0.36321737027905004,False
18,-0.15708868643816778,-0.4272614086375517,0.27017272219938393,0.004213262650677387,-13.266912965213551,0.006189584732055664,0.00015629740664735436,0.007492576725780964,0.00012684326793532819,0.3810683690124262,0.3523676922773917,False
19,-0.13385934747901618,-0.5741473331170923,0.4402879856380762,0.004221875010533076,-13.308659441330853,0.006189584732055664,0.00024002236023079604,0.007492576725780964,0.0002453625202178955,1.0300645322946202,0.15392008885777664,False
20,-0.1557643691114351,-0.4126463327922073,0.2568819636807722,0.004223414441095847,-13.129758329952464,0.006189584732055664,0.00022767309565097094,0.007492576725780964,0.0002708767424337566,0.7879625041880873,0.21718290908527896,False
21,-0.12199236423361536,-0.6557954771845949,0.5338031129509795,0.00419017692626107,-13.271657438839183,0.006189584732055664,0.0002300902851857245,0.007492576725780964,0.0002636634453665465,1.0335373471759555,0.15311437887548615,False
22,-0.06112067605934891,-0.3497533821592144,0.28863270609986547,0.004256087715974918,-13.07279203452316,0.006189584732055664,0.00022450498363468796,0.007492576725780964,0.00022974610328674316,0.9661448551190425,0.16926549705375285,False
23,-0.1332290908869575,-0.48274733505997003,0.3495182450495514,0.004187938702457091,-13.106052155588188,0.006189584732055664,0.0002993663656525314,0.007492576725780964,0.0003523700579535216,0.9574648246151205,0.17142484706585986,False
24,-0.15658165426815257,-0.5726653501099231,0.4160836975948483,0.004046214013999584,-13.389038516025916,0.006189584732055664,0.00028001764439977705,0.007492576725780964,0.00033590884413570166,0.8056214079837192,0.21210077864535373,False
25,-0.186522923263849,-0.46747365477038366,0.28095073150653466,0.004117413967226942,-13.35404218411913,0.006189584732055664,0.0002758324844762683,0.007492576725780964,6.18042831774801e-05,0.17486082535237352,0.43094067366448363,False
26,-0.18977159144831637,-0.49962984697491514,0.30985825727967653,0.004167328333007354,-13.107776417451745,0.006189584732055664,0.00026993773644790053,0.007492576725780964,9.66191291809082e-05,0.29869634181728616,0.3831927303320581,False
27,-0.188182054197087,-0.4836001150748309,0.2954180608777439,0.004226003536114506,-13.18313626682057,0.006189584732055664,0.0002549749333411455,0.007492576725780964,5.677571607520804e-05,0.1772775026245906,0.42999631207843747,False
28,-0.21252634595422185,-0.4926576135205288,0.2801312675663069,0.004234738985770473,-13.146652651768104,0.006189584732055664,0.0002329711860511452,0.007492576725780964,3.079611633438617e-05,0.10164332152447358,0.4597191834528061,False
29,-0.1899188289455339,-0.46210292390748564,0.2721840958384907,0.004147605495709999,-13.244117344126982,0.006189584732055664,0.00030221600900404155,0.007492576725780964,-0.0001027171456371434,-0.23290516722456397,0.5916163682083604,False
30,-0.19774736317933775,-0.5027896937202004,0.3050423305408627,0.004181997394006627,-13.31889113257913,0.006189584732055664,0.0003013695531990379,0.007492576725780964,0.00018518819706514478,0.512379887881891,0.3052985719954589,False
31,-0.20036889904854344,-0.49884378705538956,0.29847488800684613,0.00422631560222191,-12.971145255892884,0.006189584732055664,0.0002455565263517201,0.007492576725780964,0.00012208979751449078,0.28840968294694397,0.38710105610799517,False
32,-0.202187554509032,-0.5163973552339217,0.31420980072488974,0.004246754238528072,-13.04021130356134,0.006189584732055664,0.0003134736907668412,0.007492576725780964,0.00015334899944718927,0.37855403365452756,0.35329518470408866,False
33,-0.17530019259920307,-0.4692339850407021,0.293933792441499,0.004158716397725192,-13.303990532370175,0.006189584732055664,0.0003273504553362727,0.007492576725780964,8.275073196273297e-05,0.17478876102835084,0.43096884041148553,False
34,-0.1920987031623429,-0.46114490137380715,0.26904619821146425,0.004140050132192818,-13.495076646991805,0.006189584732055664,0.00035059655783697963,0.007492576725780964,0.00016001210315153003,0.362552236197845,0.35921878652702616,False
35,-0.20725861191749573,-0.5441552023677265,0.3368965904502308,0.004192890097186261,-13.059794313767377,0.006189584732055664,0.0003524516068864614,0.007492576725780964,0.0002303627843502909,0.5265905968312824,0.30038041401260757,False
36,-0.2011529925991507,-0.5022426983889412,0.30108970578979044,0.0041187893617533,-13.322442877526377,0.006189584732055664,0.00035553937777876854,0.007492576725780964,0.00011149736383231357,0.22503360466382424,0.41142619455258234,False
37,-0.20492931207021078,-0.4736555972520043,0.26872628518179353,0.004167720593292923,-13.209557570663153,0.006189584732055664,0.0003061180468648672,0.007492576725780964,3.820886922767386e-05,0.08432686324541863,0.46656335271695687,False
38,-0.2179343069300932,-0.4788194123436423,0.2608851036604713,0.004258886226178969,-13.146756396574133,0.006189584732055664,0.00038524469709955156,0.007492576725780964,0.00011718388122972101,0.24487400017416472,0.4037683045158114,False
39,-0.21186544322500042,-0.47040893867904066,0.2585434954540402,0.004074406152700677,-13.156682538051232,0.006189584732055664,0.00042863161070272326,0.007492576725780964,8.242405601777136e-05,0.1359885838244356,0.446182835189602,False
40,-0.21372263805539,-0.5216319151953155,0.3079092771399255,0.004209445232488946,-13.528539339701334,0.006189584732055664,0.0003721208486240357,0.007492576725780964,-4.436075687408447e-05,-0.07312501676017216,0.5290036599566363,False
41,-0.21950865522319196,-0.5137985173393699,0.29428986211617786,0.0040227794544953925,-13.167177910898246,0.006189584732055664,0.0003995609004050493,0.007492576725780964,-1.9397873984416947e-05,-0.036325299002733354,0.5144176052864218,False
42,-0.21313250006413928,-0.4591148969005136,0.24598239683637432,0.0040971582399352505,-13.374368779799518,0.006189584732055664,0.0004637343517970294,0.007492576725780964,9.158712055068463e-05,0.14810570192044717,0.44142168911689367,False
43,-0.191232030006016,-0.48011016699613307,0.2888781369901171,0.004086652049320001,-13.42811601302203,0.006189584732055664,0.00041310518281534314,0.007492576725780964,-8.840285590849817e-05,-0.16348762627870464,0.5646096664239839,False
44,-0.20418973296296364,-0.5054114834935057,0.3012217505305421,0.004010081492072227,-13.186290610070323,0.006189584732055664,0.0004984137485735118,0.007492576725780964,-0.000146136837429367,-0.22381974925738457,0.5881041253461845,False
45,-0.22173232833544412,-0.4964771562931584,0.2747448279577143,0.004001416521621686,-13.518175069023581,0.006189584732055664,0.0005327372346073389,0.007492576725780964,-4.262534639565274e-05,-0.05483763904878649,0.5217589618948308,False
46,-0.22902964844423182,-0.4933577635708977,0.26432811425012703,0.004055534197273208,-13.412699400209913,0.006189584732055664,0.0003843260637950152,0.007492576725780964,0.0002436145005049184,0.3943167002086383,0.347495658214676,False
47,-0.22244727553105823,-0.5064898659201229,0.2840425903890647,0.00409556958166992,-13.064877977558211,0.006189584732055664,0.0006279512890614569,0.007492576725780964,0.0004213509673718363,0.5486124709503741,0.292832610963799,False
48,-0.22764076263296837,-0.49315079170114856,0.26551002906818016,0.0039954696343663864,-13.438626906451058,0.006189584732055664,0.000738720700610429,0.007492576725780964,0.0004015415906906128,0.47636578149741743,0.3179242040912669,False
49,-0.22944911788491643,-0.471412557451164,0.24196343532964296,0.003953450797673534,-13.500903802759508,0.006189584732055664,0.0006463805329985917,0.007492576725780964,0.0004541759262792766,0.5843587183364305,0.28077757083862204,False
50,-0.23102502787814422,-0.5151396319270134,0.28411460361059976,0.0040643042656501715,-13.231181630901261,0.006189584732055664,0.0005098905530758202,0.007492576725780964,0.0004809750826098025,0.7099750210753982,0.24047671237805238,False
51,-0.23075069750056548,-0.5039413641480839,0.2731906713223925,0.004038138269428529,-13.200398183336445,0.006189584732055664,0.0005922936834394932,0.007492576725780964,0.00028404363547451794,0.362745516946132,0.3591470253625918,False
52,-0.23545278170529535,-0.49398167873276216,0.2585288975753036,0.004001995114901779,-13.75898458443436,0.006189584732055664,0.0006443975144065917,0.007492576725780964,0.0002630639646667987,0.30364498801795436,0.3813168597550987,False
53,-0.23046259202209174,-0.49101192927828025,0.2605493372561885,0.003948256282099322,-13.833252925498813,0.006189584732055664,0.0007200743420980871,0.007492576725780964,0.00046145229134708643,0.5184468640387243,0.3031943609010321,False
54,-0.22587103352827184,-0.4967903822076087,0.27091934867933687,0.003947295166332932,-13.611989339192709,0.006189584732055664,0.0006511398241855204,0.007492576725780964,0.0002986215695273131,0.3483754961081456,0.3644961079039231,False
55,-0.22283218421188056,-0.5021612655882742,0.2793290831294714,0.003921533167800482,-13.531847991195379,0.006189584732055664,0.0007409760146401823,0.007492576725780964,0.00031639865483157337,0.37089157706948134,0.356127242188203,False
56,-0.2257792260132584,-0.46170146558798997,0.23592223869819268,0.003923107395131214,-13.586316295698577,0.006189584732055664,0.0006523532792925835,0.007492576725780964,0.00036671070847660303,0.396804693183279,0.34658356224804987,False
57,-0.2237255684300965,-0.5127768557445676,0.28905128731447105,0.0039018498934513214,-13.637713619306975,0.006189584732055664,0.0006489224615506828,0.007492576725780964,0.00017933662456925958,0.17748531737674403,0.42991512376789687,False
58,-0.2197124724294625,-0.4809831871705897,0.26127071649420497,0.003858014767733859,-13.719408072677313,0.006189584732055664,0.0004538692010100931,0.007492576725780964,0.00016477589088026434,0.21193476957513774,0.4165013234608065,False
