Index,candidate,hidden_dim,attention_heads,attention_layers,epochs,dropout,learning_rate,actor_bc_weight,selected_epoch,validation_composite_score,all_composite_score,validation_significant,validation_mean_excess_return,validation_mean_excess_vs_equal_weight,validation_mean_excess_vs_restricted_random,validation_t_statistic,all_significant,all_mean_excess_return,all_mean_excess_vs_equal_weight,all_mean_excess_vs_restricted_random,all_t_statistic,all_mean_abs_weight_error,candidate_dir
0,experimental_320x10x6,320,10,6,128,0.1,0.00035,1.1,6,-8.889410680183245,9.279416773816255,False,-0.0015624522930011153,-6.443262100219726e-06,0.000735330581665039,-0.27053998192900247,False,0.00040584802627563477,0.00011732056736946106,0.001064009964466095,0.15294177047960184,0.05027325078845024,outputs/model_experiments/1y_experimental_20260408/candidate_models/experimental_320x10x6
1,xl_384x12x6,384,12,6,144,0.12,0.0003,1.0,144,39.2967108456607,-57.473026743917515,False,0.005741304252296686,0.007297313213348389,0.008039087057113647,0.8743472870514774,False,-0.006568642798811197,-0.0068571704129378,-0.0059104810158411665,-1.0058071782222395,0.16830752789974213,outputs/model_experiments/1y_experimental_20260408/candidate_models/xl_384x12x6
