Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_training_reward,train_demo_excess_return,train_policy_excess_return,train_policy_training_reward,validation_demo_training_reward,validation_demo_excess_return,validation_policy_excess_return,validation_policy_training_reward,validation_t_statistic,validation_p_value,selected_checkpoint
1,1.0105488300323486,-0.01089814119040966,1.021446943283081,0.004277757368981838,-13.455421447753906,0.011011769063770771,0.011053938418626785,0.0008446762221865356,0.0008025065762922168,0.0059750741347670555,0.005107379052788019,-0.0015651166904717684,-0.0006974220159463584,-0.27096420993898485,0.6037346889054274,False
2,1.1584949493408203,-1.2357659339904785,2.394260883331299,0.004250085446983576,-13.542527198791504,0.011011769063770771,0.011053938418626785,0.0008766729733906686,0.0008345034439116716,0.0059750741347670555,0.005107379052788019,-0.0015666246181353927,-0.0006989300018176436,-0.27097016001587704,0.6037369058257344,False
3,0.7519862055778503,-0.08467692136764526,0.8366631269454956,0.004222201649099588,-13.463801383972168,0.011011769063770771,0.011053938418626785,0.0009018214186653495,0.0008596518891863525,0.0059750741347670555,0.005107379052788019,-0.001600164221599698,-0.0007324695470742881,-0.27679146231918134,0.6059039469888674,False
4,0.427928626537323,-0.3676358461380005,0.7955644726753235,0.004194938577711582,-13.381044387817383,0.011011769063770771,0.011053938418626785,0.0009135760483331978,0.0008714065770618618,0.0059750741347670555,0.005107379052788019,-0.001608818769454956,-0.000741124153137207,-0.27785974006333003,0.6063012094061859,False
5,0.3014441728591919,-0.6351967453956604,0.9366409182548523,0.0041584731079638,-13.340034484863281,0.011011769063770771,0.011053938418626785,0.0009304112754762173,0.0008882417459972203,0.0059750741347670555,0.005107379052788019,-0.0015722096432000399,-0.0007045149686746299,-0.2716304442098731,0.6039828945308552,False
6,0.17247815430164337,-0.23833100497722626,0.41080915927886963,0.004147594794631004,-13.298192024230957,0.011011769063770771,0.011053938418626785,0.0009238233906216919,0.000881653861142695,0.0059750741347670555,0.005107379052788019,-0.0015624522930011153,-0.0006947576766833663,-0.27053998192900247,0.603576616986496,True
7,0.058515697717666626,-0.41777634620666504,0.47629204392433167,0.004173198714852333,-13.263662338256836,0.011011769063770771,0.011053938418626785,0.0009177625179290771,0.0008755929884500802,0.0059750741347670555,0.005107379052788019,-0.0015670240391045809,-0.0006993293645791709,-0.27148077556549965,0.6039271397735569,False
8,-0.007658898830413818,-0.47001421451568604,0.4623553156852722,0.00419165613129735,-13.230815887451172,0.011011769063770771,0.011053938418626785,0.0009165139636024833,0.0008743444341234863,0.0059750741347670555,0.005107379052788019,-0.0015704215038567781,-0.0007027268293313682,-0.2720130609966203,0.6041254160734084,False
9,-0.03170961141586304,-0.3732582926750183,0.3415486812591553,0.004180792719125748,-13.207019805908203,0.011011769063770771,0.011053938418626785,0.0009111777762882411,0.0008690082468092442,0.0059750741347670555,0.005107379052788019,-0.0015691578155383468,-0.0007014631992205977,-0.2719121990667262,0.6040878474365425,False
10,-0.09258328378200531,-0.32737603783607483,0.23479275405406952,0.0041808681562542915,-13.167692184448242,0.011011769063770771,0.011053938418626785,0.0009051075321622193,0.0008629378280602396,0.0059750741347670555,0.005107379052788019,-0.0015682518715038896,-0.0007005572551861405,-0.271795929655468,0.6040445384754529,False
11,-0.11723858118057251,-0.5395592451095581,0.4223206639289856,0.004177324939519167,-13.117908477783203,0.011011769063770771,0.011053938418626785,0.0009022951126098633,0.0008601254085078835,0.0059750741347670555,0.005107379052788019,-0.0015703976387158036,-0.0007027030223980546,-0.2722453159802005,0.6042119211346342,False
12,-0.15765327215194702,-0.522919237613678,0.36526596546173096,0.004185931291431189,-13.077674865722656,0.011011769063770771,0.011053938418626785,0.0009019641438499093,0.0008597944397479296,0.0059750741347670555,0.005107379052788019,-0.0015748918522149324,-0.0007071971776895225,-0.2731595653183947,0.6045523813556772,False
13,-0.1799858808517456,-0.34293198585510254,0.16294610500335693,0.0041695344261825085,-13.050897598266602,0.011011769063770771,0.011053938418626785,0.0009024833561852574,0.0008603136520832777,0.0059750741347670555,0.005107379052788019,-0.0015761017566546798,-0.0007084071403369308,-0.27335978476510986,0.6046269292178168,False
14,-0.21181684732437134,-0.4369508624076843,0.225134015083313,0.004194189328700304,-13.023972511291504,0.011011769063770771,0.011053938418626785,0.0009063796023838222,0.0008642098982818425,0.0059750741347670555,0.005107379052788019,-0.001575428294017911,-0.000707733619492501,-0.2731441177245685,0.6045466295543291,False
15,-0.20468032360076904,-0.6315720081329346,0.4268916845321655,0.0041730646044015884,-13.006095886230469,0.011011769063770771,0.011053938418626785,0.000908512796740979,0.0008663430926389992,0.0059750741347670555,0.005107379052788019,-0.001576155424118042,-0.000708460807800293,-0.2733232838795657,0.6046133391497694,False
16,-0.22875598073005676,-0.572708010673523,0.3439520299434662,0.004166359081864357,-12.993393898010254,0.011011769063770771,0.011053938418626785,0.0009075591224245727,0.000865389418322593,0.0059750741347670555,0.005107379052788019,-0.00157765147741884,-0.0007099568611010909,-0.2737484072360949,0.604771612489122,False
17,-0.1995510756969452,-0.30364441871643066,0.10409335047006607,0.004185827914625406,-12.986414909362793,0.011011769063770771,0.011053938418626785,0.0009068799554370344,0.0008647102513350546,0.0059750741347670555,0.005107379052788019,-0.001577269984409213,-0.000709575426299125,-0.2736928329939631,0.6047509233626049,False
18,-0.19509844481945038,-0.3081739544868469,0.11307550966739655,0.00418913085013628,-12.978081703186035,0.011011769063770771,0.011053938418626785,0.0009077191352844238,0.0008655494311824441,0.0059750741347670555,0.005107379052788019,-0.001575899077579379,-0.000708204519469291,-0.27337211346859674,0.6046315194266468,False
19,-0.2291390299797058,-0.4933650493621826,0.2642260193824768,0.00417877733707428,-12.973560333251953,0.011011769063770771,0.011053938418626785,0.0009135305881500244,0.0008713608840480447,0.0059750741347670555,0.005107379052788019,-0.001574659370817244,-0.000706964754499495,-0.27306111769232627,0.6045157246266424,False
20,-0.20500972867012024,-0.6645000576972961,0.4594903290271759,0.004157825373113155,-12.981217384338379,0.011011769063770771,0.011053938418626785,0.0009173625148832798,0.000875192868988961,0.0059750741347670555,0.005107379052788019,-0.0015747308498248458,-0.0007070362335070968,-0.273047526713462,0.604510663974107,False
21,-0.21149182319641113,-0.6513912081718445,0.43989938497543335,0.004163887817412615,-12.982511520385742,0.011011769063770771,0.011053938418626785,0.0009190879645757377,0.000876918260473758,0.0059750741347670555,0.005107379052788019,-0.0015756547218188643,-0.0007079601055011153,-0.273226735804911,0.6045773914960816,False
22,-0.23415949940681458,-0.5038877725601196,0.26972827315330505,0.004155206028372049,-12.983518600463867,0.011011769063770771,0.011053938418626785,0.0009252946474589407,0.000883124943356961,0.0059750741347670555,0.005107379052788019,-0.0015767693985253572,-0.0007090747239999473,-0.2734386499145027,0.604656291906059,False
23,-0.22177639603614807,-0.37359818816185,0.1518217921257019,0.004146639723330736,-12.993896484375,0.011011769063770771,0.011053938418626785,0.0009376092930324376,0.0008954395889304578,0.0059750741347670555,0.005107379052788019,-0.0015775918727740645,-0.0007098972564563155,-0.27356299470123663,0.6047025859339232,False
24,-0.22693639993667603,-0.40359610319137573,0.1766597032546997,0.004136027302592993,-13.033136367797852,0.011011769063770771,0.011053938418626785,0.0009531473042443395,0.0009109776001423597,0.0059750741347670555,0.005107379052788019,-0.001575815724208951,-0.0007081210496835411,-0.2732342869454441,0.6045802030427962,False
25,-0.22629356384277344,-0.5622335076332092,0.3359399437904358,0.004136246629059315,-13.108769416809082,0.011011769063770771,0.011053938418626785,0.0009502987959422171,0.0009081290918402374,0.0059750741347670555,0.005107379052788019,-0.0015826106537133455,-0.0007149159791879356,-0.27451865270629855,0.6050583230037565,False
26,-0.23686766624450684,-0.5576930046081543,0.32082533836364746,0.004142696503549814,-13.133101463317871,0.011011769063770771,0.011053938418626785,0.0009468935313634574,0.0009047238272614777,0.0059750741347670555,0.005107379052788019,-0.0015865027671679854,-0.0007188081508502364,-0.2752836799042832,0.6053430249918167,False
27,-0.23781011998653412,-0.4821372628211975,0.2443271428346634,0.00409518601372838,-13.126382827758789,0.011011769063770771,0.011053938418626785,0.0009534311830066144,0.0009112614789046347,0.0059750741347670555,0.005107379052788019,-0.0015876174438744783,-0.0007199227693490684,-0.27551683116106435,0.6054297782274523,False
28,-0.2320045828819275,-0.4355829954147339,0.2035784125328064,0.00410045450553298,-13.133785247802734,0.011011769063770771,0.011053938418626785,0.0009680986404418945,0.0009259289363399148,0.0059750741347670555,0.005107379052788019,-0.0015885293250903487,-0.0007208347087725997,-0.27565824581840076,0.6054823942067378,False
29,-0.23723463714122772,-0.471591591835022,0.23435695469379425,0.004084676969796419,-13.163071632385254,0.011011769063770771,0.011053938418626785,0.0009817888494580984,0.0009396192035637796,0.0059750741347670555,0.005107379052788019,-0.0015888034831732512,-0.000721108925063163,-0.27568239937908157,0.6054913807667119,False
30,-0.236103355884552,-0.5563626885414124,0.32025933265686035,0.004005869850516319,-13.211955070495605,0.011011769063770771,0.011053938418626785,0.0009792369091883302,0.0009370671468786895,0.0059750741347670555,0.005107379052788019,-0.0015930294757708907,-0.0007253348594531417,-0.2763844073005608,0.6057525406061169,False
31,-0.24025198817253113,-0.5290471911430359,0.28879520297050476,0.004048169124871492,-13.205185890197754,0.011011769063770771,0.011053938418626785,0.0009770706528797746,0.0009349010069854558,0.0059750741347670555,0.005107379052788019,-0.0015952468384057283,-0.0007275521638803184,-0.2767135853551699,0.6058749816711151,False
32,-0.2373056858778,-0.46458858251571655,0.22728289663791656,0.004030270967632532,-13.159130096435547,0.011011769063770771,0.011053938418626785,0.0009780839318409562,0.0009359142859466374,0.0059750741347670555,0.005107379052788019,-0.0015968680381774902,-0.0007291734218597412,-0.2769492194737163,0.605962620589984,False
33,-0.23791322112083435,-0.44402411580085754,0.2061108946800232,0.004072678275406361,-13.136299133300781,0.011011769063770771,0.011053938418626785,0.0009821151616051793,0.0009399454575031996,0.0059750741347670555,0.005107379052788019,-0.0016012608539313078,-0.0007335662958212197,-0.27769082109029924,0.6062384018294898,False
34,-0.24133650958538055,-0.46621397137641907,0.2248774617910385,0.004021598957479,-13.131580352783203,0.011011769063770771,0.011053938418626785,0.0009903594618663192,0.0009481896995566785,0.0059750741347670555,0.005107379052788019,-0.0016054927837103605,-0.0007377982256002724,-0.2784361542092501,0.606515507678393,False
35,-0.24138370156288147,-0.5287046432495117,0.28732094168663025,0.004006700124591589,-13.150554656982422,0.011011769063770771,0.011053938418626785,0.000997096300125122,0.0009549265960231423,0.0059750741347670555,0.005107379052788019,-0.0016106426483020186,-0.0007429480319842696,-0.27936283255653444,0.606859947138205,False
36,-0.2413102686405182,-0.5341563820838928,0.29284611344337463,0.004027309827506542,-13.148219108581543,0.011011769063770771,0.011053938418626785,0.000997025752440095,0.0009548559901304543,0.0059750741347670555,0.005107379052788019,-0.0016177654033526778,-0.0007500707870349288,-0.280673177401114,0.607346824897582,False
37,-0.24299150705337524,-0.4987317621707916,0.2557402551174164,0.0040448675863444805,-13.134373664855957,0.011011769063770771,0.011053938418626785,0.0009918949799612164,0.0009497253340668976,0.0059750741347670555,0.005107379052788019,-0.0016237676609307528,-0.0007560729864053428,-0.28181442318359384,0.6077707107969157,False
38,-0.24287869036197662,-0.47329986095428467,0.23042117059230804,0.004020929802209139,-13.114465713500977,0.011011769063770771,0.011053938418626785,0.0009924565674737096,0.0009502868633717299,0.0059750741347670555,0.005107379052788019,-0.001629900885745883,-0.0007622063276357949,-0.28296977078716073,0.6081996815264632,False
39,-0.24377122521400452,-0.48325204849243164,0.23948082327842712,0.004010320175439119,-13.123751640319824,0.011011769063770771,0.011053938418626785,0.000999422394670546,0.0009572527487762272,0.0059750741347670555,0.005107379052788019,-0.0016357600688934326,-0.0007680654525756836,-0.28405893262375087,0.6086039366468974,False
40,-0.24283570051193237,-0.504709780216217,0.26187407970428467,0.004106001928448677,-13.14330005645752,0.011011769063770771,0.011053938418626785,0.0010085937101393938,0.0009664240060374141,0.0059750741347670555,0.005107379052788019,-0.0016408562660217285,-0.0007731616497039795,-0.2849975083443939,0.6089521895249994,False
41,-0.24382144212722778,-0.5064617991447449,0.2626403570175171,0.004026190377771854,-13.158785820007324,0.011011769063770771,0.011053938418626785,0.0010176441865041852,0.0009754745406098664,0.0059750741347670555,0.005107379052788019,-0.0016435801517218351,-0.000775885593611747,-0.2855098612638006,0.6091422517389317,False
42,-0.24486325681209564,-0.4862504005432129,0.24138714373111725,0.00400976836681366,-13.161490440368652,0.011011769063770771,0.011053938418626785,0.0010219106916338205,0.0009797409875318408,0.0059750741347670555,0.005107379052788019,-0.0016448736423626542,-0.0007771790260449052,-0.28578710583179784,0.6092450855010356,False
43,-0.24466103315353394,-0.4756462275981903,0.23098519444465637,0.003946966957300901,-13.155088424682617,0.011011769063770771,0.011053938418626785,0.0010217914823442698,0.00097962177824229,0.0059750741347670555,0.005107379052788019,-0.0016460239421576262,-0.000778329384047538,-0.2861884953078892,0.6093939503909789,False
44,-0.24541455507278442,-0.5033745765686035,0.2579600214958191,0.0039721522480249405,-13.23009967803955,0.011011769063770771,0.011053938418626785,0.0010188895976170897,0.00097671989351511,0.0059750741347670555,0.005107379052788019,-0.0016497314209118485,-0.0007820368045940995,-0.2870924578318041,0.6097291375350711,False
45,-0.24473735690116882,-0.5223826766014099,0.2776453197002411,0.004025887697935104,-13.291793823242188,0.011011769063770771,0.011053938418626785,0.0010189554886892438,0.000976785784587264,0.0059750741347670555,0.005107379052788019,-0.0016532719600945711,-0.0007855772855691612,-0.2879199199719752,0.6100358745770705,False
46,-0.24560436606407166,-0.5081024765968323,0.2624981105327606,0.0039465539157390594,-13.342613220214844,0.011011769063770771,0.011053938418626785,0.0010225474834442139,0.0009803777793422341,0.0059750741347670555,0.005107379052788019,-0.0016579270595684648,-0.0007902324432507157,-0.28888168405349995,0.6103922957287529,False
47,-0.2452712208032608,-0.4719034433364868,0.226632222533226,0.004018330480903387,-13.337101936340332,0.011011769063770771,0.011053938418626785,0.001026148907840252,0.0009839792037382722,0.0059750741347670555,0.005107379052788019,-0.0016678273677825928,-0.0008001327514648438,-0.2907888495788213,0.6110987514867454,False
48,-0.24637599289417267,-0.48081910610198975,0.23444311320781708,0.003876310307532549,-13.330646514892578,0.011011769063770771,0.011053938418626785,0.001029585488140583,0.0009874157840386033,0.0059750741347670555,0.005107379052788019,-0.0016806840430945158,-0.0008129894849844277,-0.2933363771043026,0.6120417382944613,False
