Index,universe_id,tickers,rebalance_date,forward_end,samples,selected_objective,weighted_reward,composite_reward,blended_excess_reward
32,32,"APTV,CVNA,FDX,FTNT,HUBB,NDAQ,OMC,SJM,SPGI,SYY",2021-12-17,2021-12-23,1,equal_weight,-0.0019885465758124705,-0.00017662048339843754,-0.0019861459732055664
33,33,"AME,GIS,GPN,HUBB,IBM,MCHP,NRG,PGR,SJM,SYY",2024-02-23,2024-03-01,1,equal_weight,0.0017521881598721112,0.004176914691925049,0.0017522573471069336
34,34,"APP,APTV,GD,GPN,MAA,MCHP,NDAQ,PNR,SPGI,TXT",2025-09-26,2025-10-03,1,mean_variance,0.018045338674340553,0.017184901237487796,0.018050074577331543
35,35,"APTV,BRK-B,CNP,EQR,FDX,HUBB,MKC,SPGI,SYY,TXT",2021-10-29,2021-11-05,1,equal_weight,-0.005309393533481255,-0.002329409122467041,-0.0052956342697143555
36,36,"BRK-B,EQR,FTNT,GPN,JNJ,MKC,NDAQ,PGR,PSA,UNH",2025-08-01,2025-08-08,1,equal_weight,-0.03426319909341129,-0.020085191726684572,-0.03425014019012451
37,37,"AME,ANET,APTV,ARES,GIS,IBM,ITW,MKC,TRMB,UNH",2025-06-13,2025-06-20,1,equal_weight,-0.00845454222233281,-0.004961735010147095,-0.008432090282440186
38,38,"AME,ARES,CRM,GD,GPN,ITW,MKC,OMC,PSA,UNH",2022-11-04,2022-11-11,1,equal_weight,-0.011638294237336224,-0.003083372116088867,-0.011639952659606934
39,39,"AME,APTV,ARES,JNJ,KMB,MKC,PNR,SJM,SPGI,UNH",2024-07-12,2024-07-19,1,mean_variance,0.05431737400646668,0.03455392122268677,0.05431157350540161
40,40,"AME,ANET,APP,CME,CRM,KMB,PGR,PSA,SYY,TRMB",2022-04-22,2022-04-29,1,risk_parity,0.012698789558435081,0.0013418316841125495,0.012712061405181885
41,41,"ANET,ARES,JNJ,NDAQ,NRG,OMC,PSKY,SJM,TRMB,UNH",2025-02-14,2025-02-21,1,min_variance,0.007702278183613713,0.007019412517547608,0.007704317569732666
42,42,"APTV,BRK-B,GIS,HUBB,JNJ,MAA,PGR,PNR,PSA,SYY",2024-11-08,2024-11-15,1,min_variance,0.0011649914916447993,0.0011820495128631596,0.001168370246887207
43,43,"AME,ANET,APP,CNP,GIS,HUBB,JNJ,SJM,SYY,UNH",2023-03-17,2023-03-24,1,mean_variance,0.016486042758703356,0.01520146131515503,0.01649653911590576
44,44,"BRK-B,CNP,FTNT,GPN,HUBB,JNJ,KMB,NDAQ,PSKY,TXT",2021-11-05,2021-11-12,1,min_variance,-0.0003927951650802599,0.00037451982498168943,-0.00035572052001953125
45,45,"BRK-B,FTNT,GD,GIS,HUBB,ITW,NDAQ,PSA,SJM,SYY",2026-02-13,2026-02-20,1,mean_variance,-0.013377497772063032,-0.001966959238052369,-0.01336371898651123
46,46,"BRK-B,FISV,FTNT,GD,GIS,IBM,ITW,KMB,MKC,SPGI",2023-08-25,2023-09-01,1,mean_variance,-0.008630878318780363,0.003880488872528076,-0.008638620376586914
47,47,"APTV,BRK-B,CMI,FDX,FISV,GD,JNJ,KMB,MAA,PSKY",2025-10-03,2025-10-10,1,min_variance,-0.007315393495830021,0.0012473821640014643,-0.007321059703826904
