Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_excess_return,train_policy_excess_return,validation_demo_excess_return,validation_policy_excess_return,validation_t_statistic,validation_p_value,selected_checkpoint
1,1.1119662406397801,-0.47720252065097585,1.58916876596563,0.004867004294532771,-13.571483555962057,0.007712909020483494,3.186014509992674e-05,0.006260605528950691,-8.00948910182342e-05,-1.3791915796932737,0.9130729135556617,False
2,0.5934724024697846,-0.41558678126802634,1.0090591977624332,0.004795126078248608,-13.529838318918266,0.007712909020483494,3.571106935851276e-05,0.006260605528950691,-9.758312080521137e-05,-1.3182426449420215,0.9033437333002174,False
3,0.3710484037212297,-0.36721379499809415,0.7382621987193239,0.004728829807729698,-13.449372235466452,0.007712909020483494,3.507821020320989e-05,0.006260605528950691,-0.00012260445510037243,-1.3913246545822242,0.9149166112599214,False
4,0.19159763715430803,-0.518521410139168,0.7101190472934761,0.004670435918823761,-13.444372569813448,0.007712909020483494,4.3714164348784834e-05,0.006260605528950691,-0.00010412816482130438,-1.1194159761873481,0.8658963916198528,False
5,0.05863961577415466,-0.5798069273724276,0.6384465431465822,0.0046273200663135335,-13.345040489645566,0.007712909020483494,6.55765034025535e-05,0.006260605528950691,-6.52762537356466e-05,-0.7475014805029341,0.7709031292699847,False
6,-0.013918953783371869,-0.41386476100659836,0.39994580722322653,0.004612885479468341,-13.235819349101945,0.007712909020483494,4.301818989915773e-05,0.006260605528950691,-6.819000554969534e-05,-0.6480089590776473,0.7400569982005367,False
7,-0.08672319031229206,-0.43100592201831295,0.34428273170602086,0.0045788378509528495,-13.23693411957984,0.007712909020483494,0.00011129619088023901,0.006260605528950691,-7.774967525620013e-05,-0.7996370734917014,0.7861850346357566,False
8,-0.08037293658537023,-0.5567330308988983,0.4763600960666058,0.004596793613232234,-13.128985666761212,0.007712909020483494,0.00012827065074816346,0.006260605528950691,-5.185145710129291e-05,-0.5529487638847839,0.7086428692220623,False
9,-0.11247118723158743,-0.47201552928662766,0.35954434205504027,0.004538313786992256,-13.138660580504174,0.007712909020483494,0.00010016998567152768,0.006260605528950691,-6.693601608276367e-05,-0.47414069532837033,0.6812883319360816,False
10,-0.12490685839279025,-0.566464504774879,0.4415576463820888,0.004463784926223988,-13.253920592513738,0.007712909020483494,0.00020737740851473063,0.006260605528950691,-5.832429087604396e-05,-0.45877756222996,0.675828415276242,False
