Split,benchmark_component,equal_weight_component,restricted_random_component,raw_return_component,significance_component,significance_bonus,weight_error_penalty,composite_score
train,5.428788912765957,0.0,0.0,5.863249542990669,1.0850684157941721,0.0,10.723715722560883,1.6533911489899147
validation,25.162675375571858,0.0,0.0,9.340776053872505,3.9024433473344726,3.333333333333333,10.339199602603907,31.400028507508267
all,11.42810847687485,0.0,0.0,7.09839232659477,2.674037976720151,0.0,10.62092006206512,10.579618718124651
