Ticker,policy_weight
VOO,0.0998892
IVV,0.09990303
SPY,0.09988091
VTI,0.09988511
QQQ,0.100108065
VEA,0.10046118
VUG,0.09946956
GLD,0.099080995
IEFA,0.10066814
VTV,0.10065385
