Split,benchmark_component,equal_weight_component,restricted_random_component,raw_return_component,significance_component,significance_bonus,weight_error_penalty,composite_score
train,19.914627670112132,13.34047684924929,9.950508512850401,6.9313484935991205,14.999999999987143,10.0,0.0,75.13696152579809
validation,21.758308010160643,14.352041389401444,10.825152308215955,7.534678228383967,14.999983436790856,10.0,0.0,79.47016337295287
all,20.307959044854737,13.553765292123627,10.136405890027735,7.060971944004878,14.999999999999556,10.0,0.0,76.05910217101054
