Split,samples,demo_mean_training_reward,policy_mean_excess_return,policy_mean_training_reward,demo_mean_raw_return,demo_mean_excess_return,demo_mean_excess_vs_equal_weight,demo_mean_excess_vs_restricted_random,demo_mean_excess_vs_markowitz,policy_mean_raw_return,policy_mean_excess_vs_equal_weight,policy_mean_excess_vs_restricted_random,policy_mean_excess_vs_markowitz,mean_abs_weight_error
train,849.0,0.00453278748318553,0.000505831150803715,0.0003633171145338565,0.005382569506764412,0.004675301723182201,0.004256553947925568,0.004237218759953976,0.0036353841423988342,0.0012130984105169773,8.708386303624138e-05,6.774836947442964e-05,-0.0005340864881873131,0.08477263897657394
validation,213.0,0.004352346062660217,-0.0004908081609755754,-0.00011561996507225558,0.004961169324815273,0.003977158106863499,0.00447492441162467,0.004614444449543953,0.006793573033064604,0.0004932032315991819,6.9577927206410095e-06,0.00014647799252998084,0.0023256060667335987,0.08379465341567993
all,1062.0,0.004496597684919834,0.0003059401933569461,0.00026725910720415413,0.005298050586134195,0.004535278305411339,0.004300351720303297,0.004312876611948013,0.0042688059620559216,0.0010687126778066158,7.10133754182607e-05,8.353876910405234e-05,3.9467704482376575e-05,0.08457649499177933
