Split,benchmark_component,equal_weight_component,restricted_random_component,markowitz_component,raw_return_component,significance_component,significance_bonus,weight_error_penalty,composite_score
train,1.5162005300016355,0.17416331807989388,0.10162099472548188,-1.3339480654739007,1.2071825479723828,11.013863919720592,5.0,5.086358338594437,12.592724906431648
validation,-1.4712433002768404,0.013915583554403812,0.21970127951029703,5.711418509443327,0.49280371564343495,7.4531860801968675,2.5,5.027679204940796,9.892102663130693
all,0.9175343290508694,0.14202436839518534,0.1253052431441724,0.0986687472412807,1.0646624248943612,11.899743144978641,5.0,5.07458969950676,14.173348558197752
