Index,split,baseline_ticker,samples,baseline_mean_raw_return,policy_mean_raw_return,policy_mean_excess_return,t_statistic,p_value,significant_outperformance
0,train,VOO,849,0.000709906273090376,0.0012130983726717137,0.0005031920995813376,5.7472976882458156,6.3219648012823845e-09,True
1,train,IVV,849,0.0007108622641950951,0.0012130983726717137,0.0005022361084766186,5.7434526133349015,6.461764874617963e-09,True
2,train,SPY,849,0.0007072672405849497,0.0012130983726717137,0.0005058311320867639,5.722910625861685,7.261146774575251e-09,True
3,train,VTI,849,0.0007307497856894989,0.0012130983726717137,0.00048234858698221485,5.603053788100757,1.4236289674396268e-08,True
4,train,QQQ,849,0.0006467815843993278,0.0012130983726717137,0.0005663167882723859,3.3955011801153026,0.0003584309098238702,True
5,train,VEA,849,0.0016710219029402987,0.0012130983726717137,-0.0004579235302685849,-4.1724398705374455,0.999983379022319,False
6,train,VUG,849,0.0002691901614724958,0.0012130983726717137,0.0009439082111992179,5.538462684041323,2.0357507303764475e-08,True
7,train,GLD,849,0.003244015437554134,0.0012130983726717137,-0.00203091706488242,-3.6390918287861753,0.9998549232442351,False
8,train,IEFA,849,0.001376882248126997,0.0012130983726717137,-0.00016378387545528344,-1.2900824882375093,0.9013131490949965,False
9,train,VTV,849,0.0011934560095042306,0.0012130983726717137,1.9642363167483058e-05,0.11057456608517137,0.4559899403556074,False
10,validation,VOO,213,0.0009809690462031834,0.0004932032504551847,-0.0004877657957479987,-2.3944285566738635,0.9912415807276179,False
11,validation,IVV,213,0.0009824306192532392,0.0004932032504551847,-0.0004892273687980544,-2.401638096568767,0.9914076979932912,False
12,validation,SPY,213,0.0009840114015928457,0.0004932032504551847,-0.0004908081511376609,-2.4270181387668077,0.9919705523248799,False
13,validation,VTI,213,0.0010114883033322617,0.0004932032504551847,-0.0005182850528770769,-2.5977913029025834,0.9949798308737974,False
14,validation,QQQ,213,0.001851323624731789,0.0004932032504551847,-0.0013581203742766045,-5.2719752455570354,0.9999998341700348,False
15,validation,VEA,213,-0.00019570303634858468,0.0004932032504551847,0.0006889062868037694,1.4299177718163048,0.07710634437184391,False
16,validation,VUG,213,0.0018637751189755723,0.0004932032504551847,-0.0013705718685203875,-3.7760184695885113,0.9998965288194847,False
17,validation,GLD,213,-0.002150090647415376,0.0004932032504551847,0.0026432938978705606,2.4536132189285365,0.007474909474533481,True
18,validation,IEFA,213,-0.0002625937193212375,0.0004932032504551847,0.0007557969697764222,1.721693650795352,0.043291842775356165,True
19,validation,VTV,213,-0.00020316956748425122,0.0004932032504551847,0.0006963728179394359,1.6622268148444777,0.0489725746346041,True
20,all,VOO,1062,0.0007642719705226058,0.0010687126278203759,0.0003044406572977702,3.7167724747676205,0.00010616046988031647,True
21,all,IVV,1062,0.0007653293636559093,0.0010687126278203759,0.0003033832641644666,3.707167319069288,0.00011021351438618119,True
22,all,SPY,1062,0.0007627724254198668,0.0010687126278203759,0.00030594020240050926,3.715367924847364,0.00010674426272130576,True
23,all,VTI,1062,0.000787056098550053,0.0010687126278203759,0.00028165652927032296,3.4984615277733258,0.00024367572252134603,True
24,all,QQQ,1062,0.0008883705246919966,0.0010687126278203759,0.00018034210312837935,1.2446929144369476,0.1067597564623353,False
25,all,VEA,1062,0.0012966222682241667,0.0010687126278203759,-0.00022790964040379067,-1.7379575443977182,0.9587457871614019,False
26,all,VUG,1062,0.0005890080484293275,0.0010687126278203759,0.00047970457939104844,3.0555161149203385,0.0011514338166036969,True
27,all,GLD,1062,0.002162146702998102,0.0010687126278203759,-0.0010934340751777261,-2.192062268860031,0.9857041518316829,False
28,all,IEFA,1062,0.0010480607970286223,0.0010687126278203759,2.0651830791753564e-05,0.153296454076305,0.4390968231298078,False
29,all,VTV,1062,0.0009133418401082357,0.0010687126278203759,0.00015537078771214028,0.9409475833967276,0.1734729492298429,False
