Epoch,train_total_loss,train_actor_loss,train_critic_loss,train_bc_loss,train_entropy,train_demo_excess_return,train_policy_excess_return,validation_demo_excess_return,validation_policy_excess_return,validation_t_statistic,validation_p_value,selected_checkpoint
1,0.8409057025815926,-0.42355287177305595,1.2644585745007384,0.004299953406420993,-13.335443552802591,0.0054228780791163445,-2.5913411718647694e-06,0.004568594507873058,-1.1385633115423843e-05,-0.22854830436452148,0.5899330176930688,False
2,0.7680640454385795,-0.37388937379799636,1.1419534098868276,0.004194593166603762,-13.086463479434743,0.0054228780791163445,9.920959200826474e-06,0.004568594507873058,-4.6703677071491256e-05,-0.6187031950407643,0.7305671705057304,False
3,0.6345983013218525,-0.4718375784509322,1.1064358797727847,0.004105221197082132,-13.044398345199285,0.0054228780791163445,5.979368506814353e-05,0.004568594507873058,-3.131077755824663e-05,-0.2591067252395135,0.6017020516195053,False
4,0.5859433120372248,-0.4192165814194025,1.0051599028063756,0.004045634028300935,-13.025996843973795,0.0054228780791163445,-3.8492329622386023e-05,0.004568594507873058,-7.614034984726459e-05,-0.4938980040681636,0.6882506340148513,False
5,0.5827131937531864,-0.5225158380527123,1.105229041155647,0.003871736271927754,-13.324240572312299,0.0054228780791163445,6.154851871542633e-05,0.004568594507873058,-7.523939984821482e-06,-0.044846899611048985,0.5177977589698146,False
6,0.4733658920900494,-0.5361630574745291,1.0095289495645785,0.0038794670893135025,-13.324363558900123,0.0054228780791163445,-2.3904092813609168e-05,0.004568594507873058,-8.905162758310325e-06,-0.049331075456578034,0.5195759263774313,False
7,0.32553058278326896,-0.4411465858711916,0.7666771686544606,0.003890483210995501,-13.272424716575474,0.0054228780791163445,4.77211142424494e-05,0.004568594507873058,-6.8278270191513e-05,-0.3009204718496094,0.6176507168804974,False
8,0.326075253533382,-0.5842793794239268,0.9103546329573089,0.0038324751818150865,-13.371633024776683,0.0054228780791163445,0.0002311500284122303,0.004568594507873058,-0.00011575451208045706,-0.5531900006184455,0.7087248481801327,False
9,0.15646547780317419,-0.4496198226423824,0.6060853004455566,0.0038832812843953863,-13.126648547602635,0.0054228780791163445,0.00015728671860415488,0.004568594507873058,-3.8551595935132354e-05,-0.14490607598148544,0.5573219074928107,False
10,0.21168166048386516,-0.6571304739690295,0.8688121344528946,0.0038864187594941433,-13.245603879292807,0.0054228780791163445,0.00021092330280225724,0.004568594507873058,-0.0001126264178310521,-0.4888573204364759,0.6864807783111564,False
11,0.1613526332612131,-0.3660975998523189,0.527450233113532,0.003851463863005241,-13.091706687328863,0.0054228780791163445,0.0002185193879995495,0.004568594507873058,-8.806471305433661e-05,-0.4157568924647506,0.6603339265271786,False
12,0.1604832270566155,-0.5224016039979225,0.6828848310545379,0.003820554608953934,-13.186615065032361,0.0054228780791163445,0.00019670087203849107,0.004568594507873058,-6.914826371939853e-05,-0.32900796605643934,0.628251518556306,False
13,0.12539397852093565,-0.42769839833764467,0.5530923768585804,0.0037806078417263194,-13.470946087556726,0.0054228780791163445,0.00011718506721081212,0.004568594507873058,-7.731180812697858e-05,-0.2448460115040128,0.5962209185131703,False
14,0.06396491737926707,-0.5930844416805342,0.6570493590598013,0.0037071658024454817,-13.745073112786985,0.0054228780791163445,0.0001363643241347745,0.004568594507873058,-2.488608515704982e-05,-0.1246663720091943,0.5493611126370554,False
15,0.0016077114086525113,-0.4029923344359678,0.40460004584462034,0.0038048985286378394,-13.128641988716874,0.0054228780791163445,0.00010130277223652229,0.004568594507873058,4.3689058657037094e-05,0.15855775158358712,0.43732175726550443,False
