Index,candidate,hidden_dim,attention_heads,attention_layers,epochs,dropout,learning_rate,actor_bc_weight,selected_epoch,validation_composite_score,all_composite_score,validation_significant,validation_mean_excess_return,validation_mean_excess_vs_equal_weight,validation_mean_excess_vs_restricted_random,validation_mean_excess_vs_markowitz,validation_t_statistic,all_significant,all_mean_excess_return,all_mean_excess_vs_equal_weight,all_mean_excess_vs_restricted_random,all_mean_excess_vs_markowitz,all_t_statistic,all_mean_abs_weight_error,candidate_dir
2,deeper_224x8x5,224,8,5,80,0.08,0.0005,1.5,35,15.588885057394911,15.507955922483958,False,0.0031854629050940275,-1.5473365783691408e-05,-0.0028969526290893556,0.0023673415184020997,0.798454706397531,False,0.00025008866214193404,0.0007046336929003397,0.00039455915490786236,0.0012742678324381511,0.12722322601105215,0.043581508100032806,outputs/model_experiments/1y/20260412_markowitz_reward_round01/candidate_models/deeper_224x8x5
1,wider_256x8x4,256,8,4,64,0.08,0.0006,1.75,1,16.96787006030612,8.777038517368263,False,0.0032393396832048893,3.840327262878418e-05,-0.00284307599067688,0.0024212181568145754,0.8282721706225418,False,-0.00036384290433488786,9.070212642351787e-05,-0.00021937241156895956,0.0006603362659613291,-0.19188992366024102,0.04885637015104294,outputs/model_experiments/1y/20260412_markowitz_reward_round01/candidate_models/wider_256x8x4
0,balanced_192x6x4,192,6,4,32,0.05,0.0008,2.5,1,15.476960139097724,5.367328924846044,False,0.003186178160831332,-1.4758110046386718e-05,-0.002896237373352051,0.0023680567741394044,0.8012528238049434,False,-0.0003726743161678314,8.187070488929749e-05,-0.00022820383310317993,0.0006515048444271088,-0.19761565590434493,0.04867354407906532,outputs/model_experiments/1y/20260412_markowitz_reward_round01/candidate_models/balanced_192x6x4
