Index,universe_id,tickers,rebalance_date,forward_end,samples,selected_objective,weighted_reward,composite_reward,blended_excess_reward
33,33,"ACGL,CPRT,DHI,EQIX,ES,FITB,GOOG,GS,IBM,IQV",2025-01-31,2025-02-07,1,equal_weight,-0.008726934254131673,0.006514325737953186,-0.008725285530090332
34,34,"APA,APO,COR,DHI,FCX,FITB,FTNT,HAS,INTC,LH",2025-12-19,2025-12-26,1,mean_variance,0.0003629928116408128,0.004798156023025513,0.0003719329833984375
35,35,"APO,AWK,BKR,CDNS,CDW,EQIX,FSLR,INTC,IQV,LH",2023-10-13,2023-10-20,1,min_variance,-0.0050670115622577176,0.006626644730567932,-0.005064249038696289
36,36,"AWK,CDNS,CMS,DHI,ETR,FSLR,FTNT,GS,HCA,LLY",2025-11-21,2025-11-28,1,mean_variance,0.008017020631027409,0.002305161952972413,0.008029460906982422
37,37,"ACGL,AME,APO,APP,CPRT,ES,ESS,FSLR,KKR,LLY",2025-10-24,2025-10-31,1,mean_variance,0.043044391556948676,0.016403216123580932,0.04304397106170654
38,38,"ACGL,APP,BR,COR,DHI,ESS,FSLR,GPN,HCA,LLY",2024-05-10,2024-05-17,1,min_variance,-0.008560557251882837,0.006246900558471679,-0.008544564247131348
39,39,"ACGL,APO,APP,ETR,EXE,FSLR,HAS,IBM,INTC,LLY",2025-04-17,2025-04-25,1,equal_weight,0.00865922343677793,0.03207613825798034,0.008657217025756836
40,40,"ACGL,AME,APA,BF-B,BR,EXE,GS,HCA,IQV,KKR",2024-01-19,2024-01-26,1,equal_weight,0.0005324766035751443,0.0064195930957794195,0.0005338191986083984
41,41,"AME,APP,ETR,FTNT,GOOG,GPN,HON,IBM,KKR,LLY",2025-08-15,2025-08-22,1,min_variance,0.011627025514811299,0.009380131959915161,0.011631608009338379
42,42,"APO,AWK,CPRT,EQIX,ETR,FCX,GS,HAS,HCA,IQV",2025-06-20,2025-06-27,1,equal_weight,-0.01547939672063578,-0.023259854316711424,-0.015472173690795898
43,43,"ACGL,AME,APA,BKR,CPRT,EQIX,ETR,IBM,IQV,LLY",2024-07-19,2024-07-26,1,min_variance,0.018826026448185793,0.01071946322917938,0.018828928470611572
44,44,"AWK,BKR,CMS,DHI,EQIX,ETR,EXE,FTNT,HON,LH",2023-10-20,2023-10-27,1,min_variance,0.02160602214949748,0.008222457766532897,0.02160865068435669
45,45,"AWK,CMS,COR,CPRT,EQIX,ESS,FTNT,HCA,IBM,IQV",2026-03-06,2026-03-13,1,mean_variance,0.018400600077665696,-0.0008214831352233878,0.01838982105255127
46,46,"AWK,CHD,CMS,COR,CPRT,ES,ESS,EXE,FSLR,INTC",2024-10-18,2024-10-25,1,mean_variance,-0.004592572215130665,-0.0037881672382354737,-0.004589438438415527
47,47,"APO,AWK,BIIB,CDW,CHD,COR,ETR,EXE,FCX,HON",2025-12-26,2026-01-02,1,min_variance,0.0011787204680113491,-0.0012057542800903319,0.0011931657791137695
