Ticker,weight,marginal_risk,component_risk,percentage_risk
VEA,0.10031957486830251,0.15358008273381055,0.0154070886080946,0.10006936561917433
IEFA,0.1014159374259864,0.15189597258851956,0.015404672451296644,0.10005367262978755
QQQ,0.07866187742352136,0.1957892717336647,0.015401151693954049,0.10003080523655485
SPY,0.09088877033474965,0.1694168334162507,0.01539808766321015,0.10001090429221818
VUG,0.08000613328699084,0.19245455962233976,0.015397545148834041,0.1000073806498976
IVV,0.09415874454385949,0.1635190205936045,0.015396745688135306,0.10000218813578965
VOO,0.09531813601650771,0.1615296908388821,0.015396709042085004,0.10000195011891966
VTI,0.0906598522397662,0.16979800410612642,0.015393861962868636,0.09998345827933228
GLD,0.14479905820537767,0.10626968602003893,0.015387750451482827,0.09994376388392062
VTV,0.12377191565493821,0.1242646617101687,0.01538047522808043,0.09989651115440538
