Scenario,stressed_return,stressed_volatility,largest_loss_contributor,largest_loss_contribution,notes
equity_market_shock,-0.17104018835892448,,VTV,-0.024754383130987642,Custom return shock applied asset by asset.
interest_rate_shock_proxy,0.0,,VOO,0.0,Custom return shock applied asset by asset.
correlation_spike,,0.22414979751728414,GLD,0.04359761557825305,Returns are unchanged in this scenario; only portfolio volatility is stressed.
single_asset_crash,-0.0434397174616133,,GLD,-0.0434397174616133,Custom return shock applied asset by asset.
