Split,samples,demo_mean_training_reward,policy_mean_excess_return,policy_mean_training_reward,demo_mean_raw_return,demo_mean_excess_return,demo_mean_excess_vs_equal_weight,demo_mean_excess_vs_restricted_random,policy_mean_raw_return,policy_mean_excess_vs_equal_weight,policy_mean_excess_vs_restricted_random,mean_abs_weight_error
train,72.0,0.037308469414711,0.03566531836986542,0.037308469414711,0.0486898235976696,0.03566531836986542,0.036526866257190704,0.03607650101184845,0.0486898235976696,0.036526866257190704,0.03607650101184845,0.0
validation,18.0,0.04426855966448784,0.04527003690600395,0.04426855966448784,0.05503138527274132,0.04527003690600395,0.04124977067112923,0.0414123460650444,0.05503138527274132,0.04124977067112923,0.0414123460650444,0.0
all,90.0,0.03870048746466637,0.037586260586977005,0.03870048746466637,0.04995814338326454,0.037586260586977005,0.03747144713997841,0.03714367002248764,0.04995814338326454,0.03747144713997841,0.03714367002248764,0.0
